SI.No,Crime Head,1996,1997,Percentage Variation in 1997 over 1996,Percentage share of Crime during 1997
1,Murder,80758,79624,-1.4,3.1
2,Attempt to Commit Murder,73977,72144,-2.5,2.8
3,C.H. Not Amounting To Murder,8057,8220,2,0.3
4,Rape,19623,20048,2.2,0.8
5,Kidnapping & Abduction,27651,27771,0.4,1.1
5,I)of Women & Girls,17819,17971,0.9,0.7
5,II)of Others,9832,9800,-0.3,0.4
6,Dacoity,24642,24662,0.1,1
7,Preparation & Assembly for Dacoity,4390,4935,12.4,0.2
8,Robbery,29075,28838,-0.8,1.1
9,Burglary,75419,67157,-11,2.6
10,Theft,179558,166709,-7.2,6.5
11,Riots,479167,457834,-4.5,17.8
12,Criminal Breach of Trust,15855,14122,-10.9,0.5
13,Cheating,31098,29295,-5.8,1.1
14,Counterfeiting,717,971,35.4,0
15,Arson,15395,15612,1.4,0.6
16,Hurt/Grievous Hurt,428722,426866,-0.4,16.6
17,Dowry Deaths,14839,15428,4,0.6
18,Molestation,36527,38023,4.1,1.5
19,Sexual Harassment,7027,6819,-3,0.3
20,Cruelty by Husband and Relatives,81954,81457,-0.6,3.2
21,Other IPC Crimes,953795,989292,3.7,38.4
22,Total Cognizable Crimes Under IPC,2588246,2575827,-0.5,100
