SL. No.,Crime Head,Total no. of persons under Trial Including those From Previous Year,Number of persons whose cases compounded or withdrawn,Number of persons whose Trial Completed,Number of persons whose Trial Remained Pending,No. of Persons Convicted,Percentage of Persons whose Trials Remained Pending [Col. (6)*100/Col.(3)],Percentage of Persons Convicted to trials Completed [Col. (7)*100/Col.(5)]
1,Arms Act,295805,1115,61627,233063,38674,78.8,62.8
2,Narcotic Drugs & Psychotropic Substances Act,105859,774,16521,88564,8055,83.7,48.8
3,Gambling Act,775419,13554,253675,508190,197612,65.5,77.9
4,Excise Act,437816,2426,108953,326437,77130,74.6,70.8
5,Prohibition Act,2012125,58781,441911,1511433,252570,75.1,57.2
6,Explosive & Explosive Substances Act,30083,475,4891,24717,2159,82.2,44.1
7,Immoral Traffic (P) Act,21752,452,9058,12242,7356,56.3,81.2
8,Indian Railways Act,68887,55,43621,25211,42192,36.6,96.7
9,Registration of Foreigners Act,5107,32,2037,3038,1869,59.5,91.8
10,Protection of Civil Rights Act,24075,301,5506,18268,1089,75.9,19.8
11,Indian Passport Act,3173,23,487,2663,400,83.9,82.1
12,Essential Commodities Act,37349,215,5134,32000,1273,85.7,24.8
13,Terrorist & Disruptive Actvites Act,6709,136,440,6133,157,91.4,35.7
14,Antiquity & Art Treasure Act,151,1,3,147,0,97.4,0
15,Dowry Prohibition Act,22948,939,4821,17188,1515,74.9,31.4
16,Child Marriage Restraint Act,1036,20,198,818,127,79,64.1
17,Indecent Representation of Women (P)Act,1391,89,110,1192,47,85.7,42.7
18,Copy Right Act,5369,23,569,4777,141,89,24.8
19,Sati Prevention Act,4,0,0,4,0,100,NA
20,SC/ST (Prevention of Atrocities ) Act,98355,2016,18151,78188,5721,79.5,31.5
21,Forest Act,30003,67,6425,23511,4127,78.4,64.2
22,Other SLL Crimes,4721783,480044,2844043,1397696,2677290,29.6,94.1
23,Total Cognizable Crimes Under SLL,8705199,561538,3828181,4315480,3319504,49.6,86.7
