SI.No,Crime Head,1993,Note of 1993,1994,Note of 1994,1995,1996,1997
1,Murder,2.3,NA,2.4,NA,2.2,2.2,2.2
2,Attempt to Commit Murder,1.8,NA,1.8,NA,1.7,1.7,1.7
3,C.H. Not Amounting To Murder,0.2,NA,0.2,NA,0.2,0.2,0.2
4,Rape,0.7,NA,0.8,NA,0.8,0.9,0.9
5,Kidnapping & Abduction,1.2,NA,1.3,NA,1.2,1.2,1.3
5,I)of Women & Girls,0.9,NA,0.9,NA,0.8,0.9,0.9
5,II)of Others,0.4,NA,0.4,NA,0.4,0.3,0.4
6,Dacoity,0.6,NA,0.6,NA,0.5,0.5,0.5
7,Preparation & Assembly for Dacoity,0.1,NA,0.1,NA,0.1,0.1,0.1
8,Robbery,1.5,NA,1.5,NA,1.3,1.3,1.3
9,Burglary,7.5,NA,7.4,NA,6.9,6.7,6.6
10,Theft,19.7,NA,18.6,NA,17.4,16.7,16.1
11,Riots,5.8,NA,5.8,NA,5.7,5.4,5.3
12,Criminal Breach of Trust,1,NA,1,NA,0.9,0.9,0.9
13,Cheating,1.8,NA,1.9,NA,1.8,2,2
14,Counterfeiting,0.2,NA,0.2,NA,0.1,0.2,0.1
15,Arson,NA,*,NA,*,0.7,0.7,0.7
16,Hurt/ Grevious Hurt,NA,*,NA,*,12,13.1,13.3
17,Dowry Deaths,NA,*,NA,*,0.3,0.3,0.3
18,Molestation,NA,*,NA,*,1.6,1.7,1.8
19,Sexual Harassment,NA,*,NA,*,0.3,0.3,0.3
20,Cruelty by Husband or Relatives,NA,*,NA,*,1.7,2.1,2.1
21,other IPC Crimes,55.4,NA,56.5,NA,42.6,41.8,42.2
22,Total Cognizable Crimes Under IPC,100,NA,100,NA,100,100,100
