SI.No.,State/UT,Investigation Stage - Case Pending Investigation from Previous Year,Investigation Stage - Cases Reported During the year,Investigation Stage - Cases not Investigated or in which Investigation was Refused,Investigation stage - Cases Declared False on Account of Mistake of Fact or Law,Investigation Stage - Cases in which Chargesheets were Laid,Investigated Stage - Cases in which Chargesheets were not laid but Final Report Submitted During the Year,Investigation Stage - Total Cases (Col.7+8),Investigation Stage - Cases Pending Investigation at the end of the year,Trial Stage - Cases Pending Trial from Previous year,Trial Stage - Cases Sent for Trial During the year,Trial Stage - Total Cases for Trial During the year,Trial Stage - Cases in which Trials were Compounded or Withdrawn,Trial Stage - Cases in which Trials were Completed,Trial Stage - Cases Convicted,Trial Stage - Cases Acquitted or Discharged,Trials Stage - Cases Pending Trials at the End of the year
1,Andhra Pradesh,3,0,0,0,2,0,2,1,5,2,7,0,2,0,2,5
2,Arunachal Pradesh,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Assam,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
4,Bihar,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5,Goa,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
6,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Jammu & Kashmir,3,0,0,0,1,0,1,2,1,1,2,0,0,0,0,2
10,Karnataka,0,2,1,0,1,0,1,0,8,1,9,0,1,0,1,8
11,Kerala,4,0,0,2,1,0,1,1,0,1,1,0,0,0,0,1
12,Madhya Pradesh,0,0,0,0,0,0,0,0,9,0,9,0,1,0,1,8
13,Maharashtra,5,4,0,0,3,2,5,4,4,3,7,0,1,0,1,6
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Punjab,2,2,0,0,1,1,2,2,2,1,3,0,0,0,0,3
20,Rajasthan,2,7,0,1,3,0,3,5,11,3,14,0,3,1,2,11
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,4,6,0,4,5,0,5,1,4,5,9,0,1,0,1,8
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,7,13,0,0,2,6,8,12,8,2,10,0,0,0,0,10
25,West Bengal,3,2,0,0,0,1,1,4,1,0,1,0,0,0,0,1
Total States,Total States,35,40,1,7,19,10,29,38,55,19,74,0,9,1,8,65
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Delhi,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Total (UTs),Total (UTs),0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5
Total (All-India),Total (All-India),35,40,1,7,19,10,29,38,60,19,79,0,9,1,8,70
