SI.No.,State/UT,Rape***(Blow 16 Years) - Incidence (I),Rape***(Blow 16 Years) - Percentage Contribution to All India (P),Infanticide - Incidence (I),Infanticide - Percentage Contribution to All India (P),Foeticide - Incidence (I),Foeticide - Percentage Contribution to All India (P),Abetment of Suicide - Incidence (I),Abetment of Suicide - Percentage Contribution to All India (P),Exposure & Abondonment - Incidence (I),Exposure & Abondonment - Percentage Contribution to All India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Percentage Contribution to All India (P),Procuration of Minor Girls - Incidence (I),Procuration of Minor Girls - Percentage Contribution to All India (P),Selling of Girls for Prostitution - Incidence (I),Selling of Girls for Prostitution - Percentage Contribution to All India (P),Buying of Girls for Prostitution - Incidence (I),Buying of Girls for Prostitution - Percentage Contribution to All India (P),Child Marriage Restraint Act ** - Incidence (I),Child Marriage Restraint Act ** - Percentage Contribution to All India (P),Total - Incidence (I),Total - Percentage Contribution to All India (P)
1,Andhra Pradesh,347,7.9,0,0,0,0,0,0,0,0,15,2.4,3,3.4,0,0,0,0,0,0,365,6.1
2,Arunachal Pradesh,27,0.6,0,0,1,1.8,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,29,0.5
3,Assam,195,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,3.3
4,Bihar,198,4.5,11,10.3,4,7,0,0,1,0.2,97,15.6,33,37.9,1,11.1,0,0,23,29.5,368,6.2
5,Goa,8,0.2,0,0,0,0,0,0,6,1,2,0.3,0,0,0,0,0,0,0,0,16,0.3
6,Gujarat,130,2.9,2,1.9,0,0,1,7.7,101,17.4,125,20.2,1,1.1,0,0,0,0,29,37.2,389,6.5
7,Haryana,156,3.5,0,0,3,5.3,0,0,6,1,18,2.9,1,1.1,0,0,0,0,0,0,184,3.1
8,Himachal Pradesh,48,1.1,1,0.9,1,1.8,0,0,8,1.4,6,1,0,0,0,0,0,0,6,7.7,70,1.2
9,Jammu & Kashmir,0,0,2,1.9,0,0,0,0,3,0.5,1,0.2,0,0,0,0,0,0,0,0,6,0.1
10,Karnataka,71,1.6,3,2.8,0,0,0,0,4,0.7,44,7.1,1,1.1,0,0,0,0,1,1.3,124,2.1
11,Kerala,167,3.8,2,1.9,0,0,0,0,1,0.2,7,1.1,1,1.1,1,11.1,1,7.7,4,5.1,184,3.1
12,Madhya Pradesh,1018,23.1,45,42.1,21,36.8,5,38.5,115,19.8,29,4.7,9,10.3,1,11.1,0,0,0,0,1243,20.8
13,Maharashtra,501,11.4,25,23.4,19,33.3,4,30.8,279,47.9,61,9.8,26,29.9,1,11.1,0,0,0,0,916,15.3
14,Manipur,3,0.1,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,0,0,0,0,5,0.1
15,Meghalaya,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1
16,Mizoram,11,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.2
17,Nagaland,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1
18,Orissa,122,2.8,4,3.7,0,0,0,0,0,0,26,4.2,3,3.4,0,0,0,0,0,0,155,2.6
19,Punjab,75,1.7,1,0.9,0,0,0,0,4,0.7,6,1,2,2.3,0,0,0,0,1,1.3,89,1.5
20,Rajasthan,143,3.2,6,5.6,3,5.3,0,0,37,6.4,2,0.3,0,0,0,0,0,0,10,12.8,201,3.4
21,Sikkim,4,0.1,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,0,0,0,0,6,0.1
22,Tamil Nadu,108,2.4,0,0,0,0,0,0,0,0,7,1.1,0,0,0,0,0,0,1,1.3,116,1.9
23,Tripura,23,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.4
24,Uttar Pradesh,472,10.7,1,0.9,0,0,1,7.7,0,0,53,8.5,0,0,0,0,0,0,1,1.3,528,8.8
25,West Bengal,273,6.2,0,0,0,0,1,7.7,0,0,92,14.8,7,8,5,55.6,12,92.3,0,0,390,6.5
Total States,Total States,4107,93,103,96.3,52,91.2,12,92.3,565,97.1,596,96.1,87,100,9,100,13,100,76,97.4,5620,94
26,A & N Islands,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3,7,0.1
27,Chandigarh,3,0.1,0,0,2,3.5,1,7.7,2,0.3,2,0.3,0,0,0,0,0,0,0,0,10,0.2
28,D & N Haveli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,295,6.7,4,3.7,3,5.3,0,0,15,2.6,21,3.4,0,0,0,0,0,0,0,0,338,5.7
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,2,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,1,1.3,4,0.1
Total (UTs),Total (UTs),307,7,4,3.7,5,8.8,1,7.7,17,2.9,24,3.9,0,0,0,0,0,0,2,2.6,360,6
Total (All -India),Total (All -India),4414,100,107,100,57,100,13,100,582,100,620,100,87,100,9,100,13,100,78,100,5980,100
