SL. No.,Crime Head,Percentage of Cases to total cases for - compounded or with drawn,Percentage of Cases to toal cases for - in which trials were Completed - Convicted,Percentage of Cases to total cases for - In which Trials were Completed - Acquitted or Discharged,Percentage of cases to total cases for - In which Trials were Completed - Total [Col. 4+5],Percentage of Cases to total Cases for - Pending Trial,Conviction Rate {Col. 4/6} *100
1,Arms Act,0.1,13.7,6,19.7,80.2,69.4
2,Narcotic Drugs & Psychotropic Substances Act,0.8,7.1,6.8,14,85.2,51
3,Gambling Act,1.2,30.2,7.6,37.8,61,79.8
4,Excise Act,0.4,17.6,6.8,24.4,75.3,72.1
5,Prohibition Act,2.9,12.8,10.5,23.3,73.8,55
6,Explosive & Explosive Substances Act,0.3,7.5,7,14.5,85.2,51.5
7,Immoral Traffic (P) Act,2.4,49.4,4.7,54.1,43.5,91.4
8,Indian Railways Act,0.1,68.6,1.4,70,29.8,97.9
9,Registration of Foreigners Act,0.3,25.4,3.4,28.8,70.9,88.2
10,Protection Of Civil Rights Act,0.9,6.8,18.2,25,74.1,27.2
11,Indian Passport Act,1.4,21,11.9,32.9,65.6,63.9
12,Essential Commodities Act,0.3,3.2,9.1,12.4,87.3,26.3
13,Terrorist & Disruptive Actvites Act,0.1,2.7,4.9,7.6,92.4,35.1
14,Antiquity & Art Treasure Act,0,1.7,10.3,12.1,87.9,14.3
15,Dowry Prohibition Act,2.7,8.3,14.4,22.7,74.6,36.5
16,Child Marriage Restraint Act,1.1,13.5,10.2,23.7,75.2,56.9
17,Indecent Representation of Women (P)Act,0.3,6.2,7.1,13.3,86.3,46.8
18,Copy Right Act,0.2,3.3,9.5,12.8,87,25.6
19,Sati Prevention Act,75,0,0,0,25,NA
20,SC/ST (Prevention of Atrocities ) Act,1.7,5.2,11.3,16.5,81.8,31.4
21,Forest Act,0.2,16.2,6.4,22.6,77.2,71.6
22,Other SLL Crimes,7.3,61.3,3.5,64.8,27.9,94.6
23,Total Cognizable Crimes Under SLL,5.1,42.3,5.8,48.1,46.8,87.9
