SL. No.,Heads of Crime,Incidence - 1970,Volume - 1970,Incidence - 1975,Volume - 1975,Incidence - 1976,Volume - 1976,Incidence - 1977,Volume - 1977,Incidence - 1978,Volume - 1978,Incidence - 1979,Volume - 1979,Quinquennial Average 1975 -1979 (Q.A.),Incidence - 1980,Volume - 1980,"Percentage Change in 1980 (+) Increase, (-) Decrease - Over - 1970","Percentage Change in 1980 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Change in 1980 (+) Increase, (-) Decrease - Over - 1979"
1,Total Cognizable Crime,955422,178.8,1160520,193.2,1093897,178.4,1267004,202.5,1344968,210.7,1336168,205.2,1240511,1368529,206.2,43.2,10.3,2.4
2,Murder ,15708,2.9,17563,2.9,16673,2.7,18376,2.9,19314,3,20349,3.1,18455,22149,3.3,41,20,8.8
3,Kidnapping & Abduction,10111,1.9,11139,1.9,11250,1.8,12240,2,13616,2.1,13125,2,12274,13595,2,34.5,10.8,3.6
4,Dacoity,9837,1.8,12506,2.1,10910,1.8,12599,2,13195,2.1,14028,2.2,12648,15194,2.3,54.5,20.1,8.3
5,Robbery,16958,3.2,21656,3.6,17974,2.9,22725,3.6,22923,3.6,22860,3.5,21628,23493,3.5,38.5,8.6,2.8
6,Burglary,166339,31.1,192854,32.1,168655,27.5,193622,30.9,183991,28.8,168574,25.9,181539,166695,25.1,0.2,-8.2,-1.1
7,Thefts,337211,63.1,421891,70.2,365138,59.5,432046,69,437187,68.5,430483,66.1,417349,431036,65,27.8,3.3,1.3
8,Riots,68331,12.8,67241,11.2,63675,10.4,80449,12.9,96488,15.1,98896,15.2,81360,106957,16.1,56.5,31.5,8.2
9,Criminal Breach of Trust,22679,4.2,23287,3.9,23656,3.9,22868,3.7,23255,3.6,22016,3.4,23016,20684,3.1,-8.8,-10.1,-6.1
10,Cheating ,12331,2.3,17772,3,19588,3.2,19623,3.1,19821,3.1,18370,2.8,19035,17416,2.6,41.2,-8.5,-5.2
11,Counterfeiting,650,0.1,951,0.2,887,0.1,784,0.1,636,0.1,525,0.1,756,830,0.1,27.7,9.8,58.1
12,Other IPC Offences,295267,55.3,373660,62.2,395491,64.5,451672,72.2,514542,80.6,526942,80.9,452461,550480,83,86.4,21.7,4.5
