SL. No. ,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Arms Act,74384,297,66674,7413,60942
2,Opium Act,18463,35,12910,5518,12636
3,Gambling Act ,222733,49,213832,8852,213414
4,Excise Act,135307,807,110617,23883,109304
5,Prohibition Act,901533,72211,419546,409776,325421
6,Explosives Act & Explosive Substances Act,3446,149,1854,1443,1315
7,Suppression of Immoral Traffic Act,14789,3,14374,412,14351
8,Motor Vehicles Act,664815,1621,643082,20112,641548
9,Prevention of Corruption Act,625,22,286,317,225
10,Customs Act,532,NA,479,53,447
11,Indian Railways Act,33869,177,32975,717,31963
12,Other Offences,1063357,15782,1023148,24427,1018304
13,Total,3133853,91153,2539777,502923,2429870
