SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completed During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder ,45639,275,13579,6340,31785
2,Culpable Homicide Not Amounting to Murder,7103,48,1784,801,5271
3,Rape,9884,80,2674,949,7130
4,Kidnapping & Abduction,22414,312,5109,1792,16993
5,Dacoity,34583,298,7090,3041,27195
6,Robbery,37702,348,8493,3647,28861
7,Burglary,170926,5454,43768,25547,121704
8,Thefts,363036,14690,104510,65814,243836
9,Riots,236530,13687,39893,13818,182950
10,Criminal Breach of Trust,45425,1024,8592,4114,35809
11,Cheating ,32286,1241,6111,2845,24934
12,Counterfeiting,449,11,113,40,325
13,Other IPC Offences,1051664,80289,262416,141423,708959
14,Total Cognizable Crimes Under IPC,2057641,117757,504132,270171,1435752
