SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder ,0.6,29.8,69.6,46.7
2,Culpable Homicide Not Amounting to Murder,0.7,25.1,74.2,44.9
3,Rape,0.8,27.1,72.1,35.5
4,Kidnapping & Abduction,1.4,22.8,75.8,35.1
5,Dacoity,0.9,20.5,78.6,42.9
6,Robbery,0.9,22.5,76.6,42.9
7,Burglary,3.2,25.6,71.2,58.4
8,Thefts,4,28.8,67.2,63
9,Riots,5.8,16.9,77.3,34.6
10,Criminal Breach of Trust,2.3,18.9,78.8,47.9
11,Cheating ,3.9,18.9,77.2,46.6
12,Counterfeiting,2.4,25.2,72.4,35.4
13,Other IPC Offences,7.6,25,67.4,53.9
14,Total Cognizable Crime,5.7,24.5,69.8,53.6
