SL. No.,Crime Heads,Total number of persons in custody during the stage of investigation,Number of Persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody during the stage of investigation
1,Arms Act,75639,6645,68174,8.8,90.1
2,Opium Act,18176,5361,12648,29.5,69.6
3,Gambling Act ,393650,16396,376438,4.2,95.6
4,Excise Act,137083,21898,113666,16,82.9
5,Prohibition Act,945343,513546,350185,54.3,37
6,Explosives & Explosive Substances Act,3549,1237,1966,34.9,55.4
7,Suppression of Immoral Traffic in Women & Girls Act,16696,813,15632,4.9,93.6
8,Motor Vehicles Act,660646,13500,644507,2,97.6
9,Prevention of Corruption Act,589,253,271,43,46
10,Customs Act,566,31,530,5.5,93.6
11,Indian Railways Act,36154,1125,33915,3.1,93.8
12,Other Offences Under Local & Special Laws,1181544,29619,1135774,2.5,96.1
13,Total,3469635,610424,2753706,17.6,79.4
