SL. No.,Heads of Crime ,Number of Cases Reported During - 1975,Number of Cases Reported During - 1976,Number of Cases Reported During - 1977,Number of Cases Reported During - 1978,Number of Cases Reported During - 1979,Quinquennial average 1975 to 1979,Cases reported during the year 1980,Change in 1980 Over - Quinquennial Average,Change in 1980 Over - 1979
1,Total  IPC Cognizable Crime,39888,37015,44008,44284,46351,42309,55129,30.3,18.9
2,Murder ,663,586,864,718,812,729,1038,42.4,27.8
3,Kidnapping & Abduction,352,376,329,597,493,429,482,12.4,-2.2
4,Dacoity,291,222,285,288,359,289,455,57.4,26.7
5,Robbery,499,514,630,741,743,625,941,50.6,26.6
6,Burglary,6940,5720,6549,6218,6275,6340,6434,1.5,2.5
7,Thefts,16299,14444,16069,14148,15376,15267,17093,12,11.2
8,Riots,3285,2871,4903,5049,6195,4461,8384,87.9,35.3
9,Criminal Breach of Trust,236,195,265,244,224,233,287,23.2,28.1
10,Cheating ,304,260,219,292,259,267,293,9.4,12.7
11,Counterfeiting,NA,3,NA,3,2,2,2,0,0
12,Miscellaneous,11019,11824,13895,15986,15613,13667,19721,44.3,26.3
