SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three times or more
1,Murder ,93.4,5.5,0.9,0.2
2,Culpable Homicide Not Amounting to Murder,89.1,7.6,2.5,0.8
3,Rape,96,3.4,0.5,0.1
4,Kidnapping & Abduction,93.1,4.6,2.1,0.2
5,Dacoity,80.7,12.9,5,1.4
6,Robbery,86.8,9.4,3,0.8
7,Burglary,84.8,10.1,3.4,1.7
8,Thefts,84.6,10.2,3.4,1.8
9,Riots,93.6,5.7,0.6,0.1
10,Criminal Breach of Trust,94.5,4.7,0.7,0.1
11,Cheating ,91.6,7,1,0.4
12,Counterfeiting,97.6,2,0.4,NA
13,Total,92.4,5.8,1.3,0.5
