SL. No.,Category,States/U.Ts./Cities,Arms Act,Opium Act,Gambling Act ,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Suppression of Immoral Traffic Act,Motor Vehicles Act,Prevention of Corruption Act,Customs Act,Indian Railways Act,Other Offences,Total
1,State,Andhra Pradesh ,NA,NA,36,NA,NA,NA,163,NA,NA,NA,NA,70,269
2,State,Assam,3,1,64,61,23,NA,8,NA,NA,NA,1,121,282
3,State,Bihar,16,NA,75,5,NA,6,NA,NA,NA,NA,18,25,5
4,State,Gujarat,NA,NA,12463,NA,21591,NA,NA,NA,NA,NA,NA,5722,39776
5,State,Haryana,28,38,432,573,NA,NA,NA,NA,NA,NA,6,75,1152
6,State,Himachal Pradesh,3,3,8,172,NA,NA,NA,NA,NA,NA,NA,21,207
7,State,Jammu and Kashmir,NA,NA,35,15,NA,NA,NA,NA,NA,NA,NA,130,180
8,State,Karnataka ,NA,NA,406,103,5,NA,224,310,1,NA,11,131,1191
9,State,Kerala,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,49,55
10,State,Madhya Pradesh,182,17,2660,646,NA,16,NA,1303,NA,NA,387,685,5896
11,State,Maharashtra,55,NA,8845,NA,9322,NA,4,39,NA,NA,47,9842,28154
12,State,Manipur,4,NA,16,71,NA,NA,NA,2,NA,NA,NA,6,99
13,State,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,State,Nagaland,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5
15,State,Orissa,NA,7,NA,0,NA,NA,NA,NA,NA,NA,8,34,49
16,State,Punjab,151,83,287,395,NA,NA,NA,NA,NA,NA,38,77,1031
17,State,Rajasthan,2,15,278,1,47,NA,NA,NA,5,NA,18,55,421
18,State,Sikkim ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,State,Tamil Nadu,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,27
20,State,Tripura,NA,NA,1366,0,4264,NA,781,13,NA,NA,192,11884,18500
21,State,Uttar Pradesh,18,2,6,26,NA,NA,NA,NA,NA,NA,15,16,83
22,State,West Bengal ,8,NA,97,22,NA,10,NA,NA,NA,NA,1,746,884
Total (States),State,Total (States),470,166,27080,2117,35252,32,1180,1672,6,NA,742,29689,98406
23,UT,A & N Islands,NA,NA,22,99,NA,NA,NA,NA,NA,NA,NA,10,131
24,UT,Arunachal Pradesh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6
25,UT,Chandigarh,9,4,12,4,NA,NA,NA,NA,NA,NA,NA,33,62
26,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UT,Delhi,891,40,845,465,NA,NA,15,NA,NA,NA,15,50,2321
28,UT,"Goa, Daman & Diu",NA,NA,197,NA,NA,NA,9,39,NA,NA,1,50,296
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,UT,Mizoram,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,28
31,UT,Pondicherry,NA,NA,65,14,31,NA,NA,NA,NA,NA,NA,308,418
Total (UTs),UT,Total (UTs),902,44,1141,582,31,NA,24,39,NA,NA,16,483,3262
Total (All-India),Total (All-India),Total (All-India),1372,210,28221,2699,35283,32,1204,1711,6,NA,758,30172,101668
1,City,Ahmedabad ,6,NA,3324,NA,1725,NA,6,NA,NA,NA,NA,2710,7771
2,City,Bangalore ,NA,NA,36,83,NA,NA,160,286,NA,NA,NA,35,600
3,City,Bombay,NA,NA,115,NA,41,NA,NA,NA,NA,NA,NA,1569,1725
4,City,Calcutta,NA,NA,3,22,NA,NA,NA,NA,NA,NA,NA,255,280
5,City,Delhi,891,40,845,465,NA,NA,15,NA,NA,NA,15,50,2321
6,City,Hyderabad,NA,NA,37,19,NA,NA,40,NA,NA,NA,NA,1078,1174
7,City,Kanpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,City,Madras,NA,NA,857,NA,951,NA,328,13,NA,NA,NA,5247,7396
Total (Cities),City,Total (Cities),897,40,5217,589,2717,NA,549,299,NA,NA,15,10944,21267
