SL. No.,Category,States/U.Ts/Cities,Year - 1979,Year - 1980,Percentage Variations in 1980 Over 1979
1,State,Andhra Pradesh ,125786,102894,-18.2
2,State,Assam,45890,70029,52.6
3,State,Bihar,161571,211423,30.9
4,State,Gujarat,82760,92717,12
5,State,Haryana,24117,24250,0.6
6,State,Himachal Pradesh,6831,7584,11
7,State,Jammu & Kashmir,21429,25039,16.8
8,State,Karnataka ,116492,111874,-4
9,State,Kerala,69874,70880,1.4
10,State,Madhya Pradesh,194232,202749,4.4
11,State,Maharashtra,194456,223492,14.9
12,State,Manipur,2687,2395,-10.9
13,State,Meghalaya,4453,3631,-18.5
14,State,Nagaland,726,887,22.2
15,State,Orissa,63068,65585,4
16,State,Punjab,20402,20622,1.1
17,State,Rajasthan,98413,97521,-0.9
18,State,Sikkim ,202,208,3
19,State,Tamil Nadu,142028,164146,15.6
20,State,Tripura,9142,9939,8.7
21,State,Uttar Pradesh,249934,249942,0.0(Neg.)
22,State,West Bengal ,145888,154771,6.1
Total (States),State,Total (States),1780381,1912578,7.4
23,UT,A & N Islands,731,925,26.5
24,UT,Arunachal Pradesh,400,1405,251.2
25,UT,Chandigarh,7409,2178,-70.6
26,UT,D & N Haveli,241,214,-11.2
27,UT,Delhi,25396,22978,-9.5
28,UT,"Goa, Daman & Diu",2853,3800,33.2
29,UT,Lakshadweep,9,6,-33.3
30,UT,Mizoram,1290,1357,5.2
31,UT,Pondicherry,3867,3858,-0.2
Total (UTs),UT,Total (UTs),42196,36721,-13
Total (All-India),Total (All-India),Total (All-India),1822577,1949299,7
1,City,Ahmedabad ,9206,9191,-0.2
2,City,Bangalore ,11902,9644,-19
3,City,Bombay,29706,27445,-7.6
4,City,Calcutta,20324,21822,7.4
5,City,Delhi,23426,22745,-2.9
6,City,Hyderabad,4946,4456,-9.9
7,City,Kanpur,10175,8195,-19.5
8,City,Madras,8530,10986,28.8
Total (Cities),City,Total (Cities),118215,114484,-3.2
