SL. No.,Heads of Crime,Total Cases for Trial During the Year,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Pending Trial at the End of the year
1,Arms Act,178190,229,52849,37685,125112
2,Opium Act,29989,102,12389,9407,17498
3,Gambling Act ,320236,1067,210150,180255,109019
4,Excise Act,257052,557,99913,78738,156582
5,Prohibition Act,682443,117672,248200,110987,316571
6,Explosives & Explosive Substances Act,3401,19,895,555,2487
7,Suppression of Immoral Traffic Act,20371,172,15909,14024,4290
8,Motor Vehicles Act,873952,6635,675917,621950,191400
9,Prevention of Corruption Act,679,1,156,NA,522
10,Customs Act,771,10,370,301,391
11,Indian Railways Act,36037,26,31956,31552,4055
12,Other Offences,1279014,9346,980715,915166,288953
13,Total,3682135,135836,2329419,2000678,1216880
