SL. No.,Category,State/U.Ts./Cities,1975,1976,1977,1978,1979,Quinquennial Average of 1975 to 1979 (Q.A.),1980,"Percentage Variation in 1980 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation in 1980 (+) Increase, (-) Decrease - Over - 1979",Volume of Crime in 1980 Per One Lakh of Population 
1,State,Andhra Pradesh ,57105,61170,66852,68092,76709,65986,69320,5.1,-9.6,136.3
2,State,Assam,36077,32896,36050,37140,40334,36499,43773,19.9,8.5,223.9
3,State,Bihar,99135,94782,96897,100121,101146,98416,104225,5.9,3,154.6
4,State,Gujarat,54872,55895,59915,61736,62508,58985,61713,4.6,-1.3,189.2
5,State,Haryana,9596,9146,13039,15505,16297,12717,16600,30.5,1.9,134.9
6,State,Himachal Pradesh,3450,3780,4553,4581,4801,4233,4864,14.9,1.3,116.5
7,State,Jammu & Kashmir,10419,12319,14529,12443,14118,12766,15075,18.1,6.8,256.2
8,State,Karnataka ,49491,50640,69315,80136,75883,65093,77443,19,2.1,220.2
9,State,Kerala,36022,31868,41262,48618,43412,40236,47641,18.4,9.7,185.6
10,State,Madhya Pradesh,127211,122299,148125,164469,160787,144578,169751,17.4,5.6,324.5
11,State,Maharashtra,141980,133440,145086,150626,154372,145101,167347,15.3,8.4,278.2
12,State,Manipur,3102,2984,3258,3363,3242,3190,3505,9.9,8.1,244.2
13,State,Meghalaya,1619,1604,1705,1894,2280,1820,2203,21,-3.4,169.6
14,State,Nagaland,910,824,844,957,834,874,919,5.1,10.2,131.3
15,State,Orissa,34511,33400,35416,39589,42595,37102,48081,29.6,12.9,179.9
16,State,Punjab,12360,11775,13994,12831,12128,12618,11679,-7.4,-3.7,73.6
17,State,Rajasthan,50984,50842,62244,63752,59877,57540,60846,5.7,1.6,184.9
18,State,Sikkim ,336,230,193,217,318,259,281,8.5,-11.6,112.1
19,State,Tamil Nadu,74909,69806,90396,107973,104745,89566,116110,29.6,10.8,247.5
20,State,Tripura,2026,3010,3820,5355,5766,3995,6098,52.6,5.8,295.4
21,State,Uttar Pradesh,230901,195633,222621,217277,206230,214532,198131,-7.6,-3.9,189.6
22,State,West Bengal ,86514,84879,91450,93596,92367,89761,93618,4.3,1.4,169.7
Total (States),State,Total (States),1123530,1063222,1221564,1290271,1280749,1195867,1319223,10.3,3,201.7
23,UT,A & N Islands,541,517,592,701,703,611,805,31.8,14.5,438.9
24,UT,Arunachal Pradesh,318,399,476,443,615,450,852,89.3,38.5,136.6
25,UT,Chandigarh,1202,1312,2495,2609,2430,2010,2118,5.4,-12.8,427.7
26,UT,Delhi,28571,23105,35856,43407,44078,35003,37588,7.4,-14.7,624.3
27,UT,D & N Haveli,153,146,109,220,191,164,177,7.9,-7.3,202.3
28,UT,"Goa, Daman & Diu",2444,2150,1890,2181,2209,2175,2927,34.6,32.5,257
29,UT,Lakshadweep,27,14,15,20,6,16,15,-6.2,50,42.1
30,UT,Mizoram,362,647,737,771,1277,759,1055,39,-17.4,237.7
31,UT,Pondicherry,3372,2385,3270,4345,3910,3456,3769,9.1,-3.6,644.6
Total (UTs),UT,Total (UTs),36990,30675,45440,54697,55410,44644,49306,10.4,-11,512.9
Total (All-India),Total (All-India),Total (All-India),1160520,1093897,1267004,1344968,1336168,1240511,1368529,10.3,2.4,206.2
1,City,Ahmedabad ,5625,6231,7323,8035,8017,7046,8678,23.2,8.2,405.3
2,City,Bangalore ,10182,11002,20751,26063,22439,18087,18307,1.2,-18.4,897.5
3,City,Bombay,33774,31376,36866,36160,36448,34845,35695,2.4,-2.1,425.5
4,City,Calcutta,11829,12321,12577,13039,13104,12574,13981,11.2,6.7,415
5,City,Delhi,27196,21464,33865,41061,41552,33028,35648,7.9,-14.2,649.6
6,City,Hyderabad,5025,5174,5955,7772,8478,6481,7412,14.4,-12.6,328.4
7,City,Kanpur,8669,8399,7752,11395,10546,9352,6300,-32.6,-40.3,424.1
8,City,Madras,17630,14940,18247,19089,17288,17439,17279,-0.9,-0.1,501.2
Total (Cities),City,Total (Cities),119530,110907,143336,162614,157872,138852,143300,3.2,-9.2,5900.7
