SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation carried over from the previous year including persons under arrest during the year ,Total number of persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation
1,Murder ,63529,13571,46625,21.4,73.4
2,Culpable Homicide Not Amounting to Murder,7266,1276,5351,17.6,73.6
3,Rape,8460,1892,5953,22.4,70.4
4,Kidnapping & Abduction,20820,4602,13432,22.1,64.5
5,Dacoity,73815,18357,41535,24.9,56.3
6,Robbery,32803,4928,22491,15,68.6
7,Burglary,120167,12614,94297,10.5,78.5
8,Thefts,278531,32364,210677,11.6,75.6
9,Riots,679855,115500,486220,17,71.5
10,Criminal Breach of Trust,23296,7360,13671,31.6,58.7
11,Cheating ,19193,5470,12146,28.5,63.3
12,Counterfeiting,765,317,175,41.4,22.9
13,Total Cognizable Crime,2141568,308769,1628441,14.4,76
