SL. No.,Heads of Crime,"Percentage of Cases not Investigated Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Murder ,3,68.1,28.9,79.9
2,Culpable Homicide Not Amounting to Murder,4.4,68.1,27.5,70.8
3,Rape,8.2,61.4,30.4,85.4
4,Kidnapping & Abduction,20.9,50.9,28.4,68.8
5,Dacoity,6.1,59,34.9,65.8
6,Robbery,12.8,64.5,22.7,53.6
7,Burglary,4.7,78.9,16.4,33.1
8,Thefts,6.5,79.6,13.9,34.8
9,Riots,13.4,61.7,24.9,80.1
10,Criminal Breach of Trust,11.9,44.9,43.2,59.7
11,Cheating ,10.2,51.2,38.6,57.2
12,Counterfeiting,5,53.5,41.5,16.4
13,Other IPC Offences,8.8,73.2,18,84.7
14,Total Cognizable Crimes Under IPC,8.1,73.1,18.8,59.5
