SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Fact or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid 
1,Murder ,30364,904,20668,8792,16520
2,Culpable Homicide Not Amounting to Murder,4230,187,2879,1164,2037
3,Rape,6764,556,4155,2053,3549
4,Kidnapping and Abduction,18480,3866,9398,5216,6467
5,Dacoity,22718,1374,13412,7932,8820
6,Robbery,29871,3823,19265,6783,10328
7,Burglary,199199,9401,157127,32671,51991
8,Thefts,509471,32870,405620,70981,141267
9,Riots,138802,18605,85644,34553,68636
10,Criminal Breach of Trust,37722,4496,16945,16281,10114
11,Cheating ,29230,2976,14961,11293,8555
12,Counterfeiting,1239,62,633,514,109
13,Other IPC Offences,640623,56330,469071,115222,397252
14,Total (Cognizable Crimes Under IPC),1668713,135450,1219808,313455,725585
