SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trial were completed,Persons in custody or on bail at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder ,135808,513,38099,97196,14768,71.6,38.8
2,Culpable Homicide Not Amounting to Murder,18542,218,4593,13731,2027,74.1,44.1
3,Rape,16290,136,4193,11961,1394,73.4,33.2
4,Kidnapping & Abduction,50519,592,11452,38475,3724,76.2,32.5
5,Dacoity,157103,898,32842,123363,11424,78.5,34.8
6,Robbery,81012,1106,18452,61454,7603,75.9,41.2
7,Burglary,309232,10223,72887,226122,37024,73.1,50.8
8,Thefts,667538,27220,157976,482342,87443,72.3,55.4
9,Riots,1700914,123916,291914,1285084,90393,75.6,31
10,Criminal Breach of Trust,58104,1355,11220,45529,5282,78.4,47.1
11,Cheating ,45771,1528,8939,35304,3809,77.1,42.6
12,Counterfeiting,639,31,128,480,52,75.1,40.6
13,Total Cognizable Crime,4930408,310139,1073794,3546475,467303,71.9,43.5
