SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial During the Year,Percentage of Cases in which Trials were Completed to Total Cases Under Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Conviction to Cases in which Trials were Completed
1,Arms Act,0.1,29.7,70.2,71.3
2,Opium Act,0.3,41.3,58.4,75.9
3,Gambling Act ,0.3,65.6,34.1,85.8
4,Excise Act,0.2,38.9,60.9,78.8
5,Prohibition Act,17.2,36.4,46.4,44.7
6,Explosives & Explosive Substances Act,0.6,26.3,73.1,62
7,Suppression of Immoral Traffic Act,0.8,78.1,21.1,88.2
8,Motor Vehicles Act,0.8,77.3,21.9,92
9,Prevention of Corruption Act,0.1,23,76.9,37.2
10,Customs Act,1.3,48,50.7,81.4
11,Indian Railways Act,0.1,88.7,11.2,98.7
12,Other Offences,0.7,76.7,22.6,93.3
13,Total,3.7,63.3,33,85.9
