SL. No.,Heads of Crime,Percentage of Cases not Investigated or Mistake of Fact or Law or Non Cognizable to Total Cases for Investigation,Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Arms Act,0.4,89.6,10,91.4
2,Opium Act,0.2,69.9,29.9,97.9
3,Gambling Act ,Neg.,96,4,99.8
4,Excise Act,0.6,81.8,17.6,98.8
5,Prohibition Act,8,46.5,45.5,77.6
6,Explosives & Explosive Substances Act,4.3,53.8,41.9,70.9
7,Suppression of Immoral Traffic Act,Neg.,97.2,2.8,99.8
8,Motor Vehicles Act,0.3,96.7,3,99.8
9,Prevention of Corruption Act,3.5,45.8,50.7,78.7
10,Customs Act,0,90,10,93.3
11,Indian Railways Act,0.5,97.4,2.1,96.9
12,Other Offences,1.5,96.2,2.3,99.5
13,Total,2.9,81,16.1,95.7
