SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 3),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Acquitted or Discharged (Col. 5),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Total [Col. 4+5] (Col. 6),Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 7)
1,Murder,0.6,8.9,11.8,20.7,78.8
2,Attempt to Commit Murder,0.9,9,11.2,20.2,78.9
3,C.H. Not Amounting to Murder,0.8,10.6,11.7,22.3,76.9
4,Rape,1,8,13.9,21.9,77.1
5,Kidnapping & Abduction,1.3,6.1,10.4,16.5,82.2
5,I) Of Women & Girls,1.3,6.2,10.8,17,81.7
5,II) Of Others,1.4,5.3,7.4,12.7,85.9
6,Dacoity,0.3,6.1,10,16.1,83.5
7,Preparation & Assembly for Dacoity,0.5,6.5,11.3,17.8,81.8
8,Robbery,0.7,7.2,9.8,17,82.3
9,Burglary,2,10.9,12,22.9,75.1
10,Theft,2.2,11,9.2,20.2,77.6
11,Riots,5.1,5.6,9.7,15.3,79.6
12,Criminal Breach of Trust,1.7,6.2,7.8,14,84.2
13,Cheating,1.8,5.9,7.6,13.5,84.7
14,Counterfeiting,1.2,9,9.9,18.9,80
15,Other IPC Crimes,8.8,10.9,9.2,20.1,71
16,Total Cognizable Crimes Under IPC,6.2,10,9.5,19.5,74.3
