SL. No.,Crime Head,Total Number of Persons Under Arrest* Including those from Previous Year,Persons Released before Trial - Number,Persons Released before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the Year - Number,Persons Under Investigation at the End of the Year - Percentage to Total
1,Arms Act,64414,1132,1.8,56095,87.1,7187,11.2
2,Narcotic Drugs & Psychotropic Substances Act,16131,283,1.8,11073,68.6,4775,29.6
3,Gambling Act,367680,270,0.1,357325,97.2,10085,2.7
4,Excise Act,119167,1471,1.2,98967,83,18729,15.7
5,Prohibition Act,764571,13383,1.8,470788,61.6,280400,36.7
6,Explosive & Explosive Substances Act,7012,404,5.8,4201,59.9,2407,34.3
7,Immoral Traffic (Prevention) Act,19256,68,0.4,17374,90.2,1814,9.4
8,Indian Railways Act,35999,126,0.4,35161,97.7,712,2
9,Foreigner's Registration Act,807,35,4.3,726,90,46,5.7
10,Protection Of Civil Rights Act,6499,139,2.1,5896,90.7,464,7.1
11,Indian Passport Act,1125,47,4.2,600,53.3,478,42.5
12,Essential Commodities Act,8070,272,3.4,6096,75.5,1702,21.1
13,Terrorist & Disruptive Activites Act,2089,75,3.6,995,47.6,1019,48.8
14,Antiquity & Art Treasure Act,4,0,0,4,100,0,0
15,Dowry Prohibition Act,4487,304,6.8,3319,75,864,19.3
16,Other LSL Crimes not Include Above,2720997,100431,3.7,2549411,93.7,71155,2.6
17,Total Cognizable Crimes Under LSL,4138308,118440,2.9,3618031,87.4,401837,9.7
