SL. No.,Crime Head,1987,198,Percentage Variation in 1988 Over 1987,Percentage Share of Crime During 1988
1,Arms Act,56905,55591,-2.3,1.4
2,Narcotic Drugs & Psychotropic Substances Act,10428,12385,18.8,0.3
3,Gambling Act,311785,352948,13.2,9.1
4,Excise Act,97611,99323,1.8,2.6
5,Prohibition Act,501523,610230,21.7,15.8
6,Explosive & Explosive Substances Act,3816,4465,17,0.1
7,Immoral Traffic (Prevention) Act,16064,18130,12.9,0.5
8,Indian Railways Act,29265,35396,20.9,0.9
9,Foreigner's Registration Act,*,778,NA,0
10,Protection Of Civil Rights Act,*,6336,NA,0.2
11,Indian Passport Act,*,943,NA,0
12,Essential Commodities Act,*,6871,NA,0.2
13,Terrorist & Disruptive Activites Act,*,1858,NA,0
14,Antiquity & Art Treasure Act,*,1,NA,0
15,Dowry Prohibition Act,*,4175,NA,0.1
16,Other LSL Crimes not Include Above,2671946,2661073,-0.4,68.8
17,Total Cognizable Crimes Under LSL,3699343,3870503,4.6,100
