SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Law Etc. (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Chargesheets were Laid (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total [Col. 4+5+6] (Col. 7),Percentage of Cases Pending Investigation (Col. 8)
1,Murder,0.3,2.9,12.6,51.1,66.6,33.1
2,Attempt to Commit Murder,0.2,4.5,10.2,63,77.7,22.1
3,C.H. Not Amounting to Murder,0.2,3.7,11.9,53.1,68.7,31.1
4,Rape,0.2,6.9,6,60,72.9,26.8
5,Kidnapping & Abduction,0.4,19.5,12.7,36,68.2,31.5
5,I) Of Women & Girls,0.3,19.6,12.2,35.7,67.5,32.2
5,II) Of Others,0.7,18.3,16.7,38.6,73.6,25.8
6,Dacoity,0.3,5.9,19.7,33.6,59.2,40.5
7,Preparation & Assembly for Dacoity,0,3.5,8.3,65.6,77.4,22.6
8,Robbery,0.5,10.5,23.4,37.8,71.7,27.7
9,Burglary,0.3,4.5,44.9,29.6,79,20.7
10,Theft,1,4.6,43.2,31.3,79.1,19.9
11,Riots,0.2,10.9,7.5,58.8,77.2,22.6
12,Criminal Breach of Trust,0.8,8.8,12.5,35.3,56.6,42.5
13,Cheating,0.7,12.8,16.2,32.9,61.9,37.6
14,Counterfeiting,12.8,6.7,23.6,11.4,41.7,45.4
15,Other IPC Crimes,0.3,6,8.8,67.9,82.7,17
16,Total Cognizable Crimes Under IPC,0.5,6.2,20.3,52.6,79.1,20.4
