SL.No.,Category,State/UT/City,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (Prevention) Act,Indian Railway Act,Foreigners Registration Act,Protection Of Civil Rights Act,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Other LSL Crimes,Total Cognizable Crimes Under LSL
1,State,Andhra Pradesh,0,0,240,1,0,0,49,0,0,8,0,0,0,0,0,1291,1589
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,2,0,20,0,3,0,0,0,0,0,0,0,8,0,0,5,38
4,State,Bihar,121,2,104,146,0,59,2,61,0,0,0,41,0,0,49,183,768
5,State,Goa,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,9,19
6,State,Gujarat,0,1,109,0,250,0,0,1,3,0,0,0,1,0,0,453,818
7,State,Haryana,1,3,108,51,0,0,0,15,0,0,0,0,0,0,0,4,182
8,State,Himachal Pradesh,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,4,30
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka,0,0,164,97,0,0,252,2,0,3,0,0,0,0,0,331,849
11,State,Kerala,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,226,227
12,State,Madhya Pradesh,12,7,350,497,0,14,0,34,0,2,0,0,0,0,9,189,114
13,State,Maharashtra,0,0,317,0,433,1,5,3,0,0,0,0,0,0,0,1611,2370
14,State,Manipur,0,1,0,6,0,1,0,0,0,0,0,0,1,0,0,7,16
15,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
17,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
18,State,Orissa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,135,136
19,State,Punjab,13,4,7,37,0,0,0,0,0,0,0,0,1,0,0,2,64
20,State,Rajasthan,24,9,133,19,0,0,0,7,0,2,0,0,0,0,0,223,417
21,State,Sikkim,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,46,51
22,State,Tamil Nadu,0,18,16,0,1250,1,224,5,0,0,0,0,0,0,0,4457,5971
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,16,4,13,18,0,0,0,0,0,0,0,0,0,0,0,44,95
25,State,West Bengal,10,0,183,0,14,5,0,89,0,0,0,0,0,0,0,197,498
Total (States),State,Total (States),199,49,1774,898,1950,81,539,217,3,15,0,41,11,0,58,9421,15256
26,UT,A & N Islands,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,33
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,34
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,88,153
Total (UTs),UT,Total (UTs),2,0,6,27,0,0,94,0,0,0,0,0,0,0,0,91,220
Total (All-India),Total (All-India),Total (All-India),201,49,1780,925,1950,81,633,217,3,15,0,41,11,0,58,9512,15476
33,City,Ahmedabad,0,0,18,0,33,0,0,0,0,0,0,0,0,0,0,266,318
34,City,Bangalore,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,4,191
35,City,Bombay,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1066,1069
36,City,Calcutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
37,City,Delhi,2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,34
38,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,City,Jaipur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,City,Kanpur,15,1,13,18,0,0,0,0,0,0,0,0,0,0,0,1,48
41,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,City,Madras,0,0,0,0,485,0,12,0,0,0,0,0,0,0,0,221,718
43,City,Nagpur,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,172,181
44,City,Pune,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,50,57
