SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Law Etc. (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Chargesheets were Laid (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total [Col. 4+5+6] (Col. 7),Percentage of Cases Investigation (Col. 8)
1,Arms Act,0,0.7,2.5,83.8,87,12.9
2,Narcotic Drugs & Psychotropic Substances Act,0.7,0.5,2.5,71.6,74.6,24.7
3,Gambling Act,0,0.2,0.4,96.9,97.5,2.5
4,Excise Act,0.5,0.8,2,85.6,88.4,11.2
5,Prohibition Act,1.3,1.2,4.2,68.7,74.1,24.6
6,Explosive & Explosive Substances Act,0.3,2.8,7.6,49.4,59.8,39.9
7,Immoral Traffic (Prevention) Act,0,0.1,0,94.7,94.8,5.2
8,Indian Railways Act,6.5,0.9,11.5,79,91.4,2.1
9,Foreigner's Registration Act,0,1.6,1.8,90.8,94.2,5.8
10,Protection Of Civil Rights Act,0,15.8,5.2,68.1,89.1,10.8
11,Indian Passport Act,4.9,1.9,4.7,53.3,59.9,35.1
12,Essential Commodities Act,0.1,3.6,3.9,68.2,75.7,24.2
13,Terrorist & Disruptive Activites Act,0.3,0.8,13.6,32.5,46.9,52.7
14,Antiquity & Art Treasure Act,0,0,14.3,64.3,78.6,21.4
15,Dowry Prohibition Act,0.5,14.4,8.4,52.9,75.7,23.9
16,Other LSL Crimes not Including Above,0.3,1.4,0.8,94.6,96.8,3
17,Total Cognizable Crimes Under LSL,0.5,1.3,1.6,88.7,91.6,7.9
