SL. No.,Crime Head,Male,Female,Total,Percentage - Male,Percentage - Female
1,Murder,65332,2208,67540,96.7,3.3
2,Attempt to Commit Murder,51939,851,52790,98.4,1.6
3,C.H. Not Amounting to Murder,8167,231,8398,97.2,2.8
4,Rape,12765,146,12911,98.9,1.1
5,Kidnapping & Abduction,20175,830,21005,96,4
5,I) Of Women & Girls,17363,812,18175,95.5,4.5
5,II) Of Others,2812,18,2830,99.4,0.6
6,Dacoity,32170,166,32336,99.5,0.5
7,Preparation & Assembly for Dacoity,3777,4,3781,99.9,0.1
8,Robbery,28979,106,29085,99.6,0.4
9,Burglary,92489,1067,93556,98.9,1.1
10,Theft,212691,4947,217638,97.7,2.3
11,Riots,528643,14820,543463,97.3,2.7
12,Criminal Breach of Trust,16487,182,16669,98.9,1.1
13,Cheating,20268,389,20657,98.1,1.9
14,Counterfeiting,708,1,709,99.9,0.1
15,Other IPC Crimes not Included Above,1259230,38735,1297965,97,3
16,Total Cognizable Crimes Under IPC,23535820,64683,2418503,97.3,2.7
