SL. No.,Crime Head,Incidence - 1978,Volume - 1978,Incidence - 1983,Volume - 1983,Incidence - 1984,Volume - 1984,Incidence - 1985,Volume - 1985,Incidence - 1986,Volume - 1986,Incidence - 1987,Volume - 1987,Incidence - Quinquennial Avg. 1983-1987 (Q.A.),Volume - Quinquennial Avg. 1983-1987 (Q.A.),Incidence - 1988,Volume - 1988,Percentage Change in 1988 ((+) Increase/ (-) Decrease) Over - 1978,Percentage Change in 1988 ((+) Increase/ (-) Decrease) Over - Quinquennial Avg. (Q.A.),Percentage Change in 1988 ((+) Increase/ (-) Decrease) Over - 1987
1,Murder,19314,3,25112,3.5,25786,3.5,25970,3.5,27269,3.6,28513,3.6,26530,3.5,28771,3.6,49,8.4,0.9
2,Attempt to Commit Murder,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,20689,2.6,NA,NA,NA
3,C.H. Not Amounting to Murder,2728,0.4,3793,0.5,4093,0.6,3995,0.5,4195,0.5,3721,0.5,3959,0.5,3755,0.5,37.6,-5.2,0.9
4,Rape,4558,0.7,6019,0.8,6740,0.9,7289,1,7952,1,8559,1.1,7312,1,9099,1.1,99.6,24.4,6.3
5,Kidnapping & Abduction,13616,2.1,13842,1.9,15141,2.1,16051,2.1,15667,2,15251,2,15190,2,15771,2,15.8,3.8,3.4
5,I) Of Women & Girls,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,13880,1.7,NA,NA,NA
5,II) Of Others,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,1891,0.2,NA,NA,NA
6,Dacoity,13195,2.1,12382,1.7,12301,1.7,11254,1.5,10444,1.4,10036,1.3,11283,1.5,9306,1.2,-29.5,-17.5,-7.3
7,Preparation & Assembly for Dacoity,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,931,0.1,NA,NA,NA
8,Robbery,22923,3.6,21310,3,23204,3.2,22501,3,22395,2.9,22917,2.9,22465,3,21611,2.7,-5.7,-3.8,-5.7
9,Burglary,183991,28.8,139103,19.3,136272,18.5,130354,17.4,128946,16.8,125466,16.1,132028,17.6,124304,15.6,-32.4,-5.9,-0.9
10,Theft,437187,68.5,353536,49.1,330669,45,330554,44,323533,42.2,310575,39.7,329773,44,319848,40.2,-26.8,-3,3
11,Riots,96488,15.1,108101,15,101460,13.8,99757,13.3,94197,12.3,90789,11.6,98861,13.2,94587,11.9,-2,-4.3,4.2
12,Criminal Breach of Trust,23255,3.6,18514,2.6,18428,2.5,18417,2.5,19021,2.5,17847,2.9,18445,2.5,17352,2.2,-25.4,-5.9,-2.8
13,Cheating,19821,3.1,19767,2.7,19077,2.6,21016,2.8,22579,2.9,22115,2.8,20911,2.8,22705,2.9,14.6,8.6,2.7
14,Counterfeiting,636,0.1,809,0.1,1118,0.2,1504,0.2,1687,0.2,1653,0.2,1354,0.2,1537,0.2,141.7,13.5,-7
15,Other IPC Crimes,507256,79.5,627578,87.1,664371,90.3,696069,92.7,727950,95,749550,95.9,693104,92.2,750090,94.2,47.9,8.2,0.1
16,Total Cognizable Crimes Under IPC,1344968,210.7,1349866,187.4,1358660,184.7,1384731,184.4,1405835,183.5,1406992,180.1,1381217,184,1440356,180.8,7.1,4.3,2.4
