S. No. (Col.1),State/UT (Col.2),Cases Pending Investigation from Previous Year (Col.3),Cases Reported During the Year (Col.4),Total Cases for Investigation (Col.5) = (Col. 3+4),Cases Withdrawn by Govt (Col.6),Cases Transferred to other PS or Magistrate (Col.7),Cases Not Investigated U/S 157(1) (b) of Cr.PC (Col.8),Final Report - True but Insufficient Evidence (Col.9),Final Report - False (Col.10),Final Report - Mistake of Fact (Col.11),Final Report - Non Cognizable (Col.12),Final Report - Total (Col.13) = (Col.9+ Col.10+ Col.11+ Col.12),Cases in Which Chargesheets were Submitted (Col.14),Total Cases Disposed off by Police (Col.15) = (Col. 7+8+13+ 14),Cases Pending Investigation at the End of the Year (Col.16) = (Col. 5 - (Col.6+ Col.15)),ChargeSheeting Rate (Col.17) = (Col.14/ Col.15) * 100,Pendency Percentage (Col.18) = (Col.16/ (Col.5)) * 100
1,Andhra Pradesh,374,405,779,0,0,0,2,91,16,0,109,265,374,405,70.9,52
2,Arunachal Pradesh,1,1,2,0,0,0,2,0,0,0,2,0,2,0,0,0
3,Assam,0,1,1,0,0,0,0,0,0,0,0,1,1,0,100,0
4,Bihar,17,25,42,0,0,0,0,3,0,0,3,22,25,17,88,40.5
5,Chhattisgarh,53,402,455,0,0,0,1,2,0,0,3,393,396,59,99.2,13
6,Goa,5,11,16,0,0,0,2,0,0,0,2,6,8,8,75,50
7,Gujarat,39,281,320,4,0,0,6,2,3,2,13,237,250,66,94.8,20.6
8,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
9,Himachal Pradesh,3,2,5,0,0,0,0,0,0,0,0,1,1,4,100,80
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
11,Jharkhand,331,280,611,0,0,0,54,5,9,6,74,170,244,367,69.7,60.1
12,Karnataka,170,374,544,0,2,0,4,41,7,0,52,304,358,186,84.9,34.2
13,Kerala,141,182,323,0,0,0,17,15,0,0,32,133,165,158,80.6,48.9
14,Madhya Pradesh,117,1823,1940,0,0,0,0,8,1,1,10,1795,1805,135,99.4,7
15,Maharashtra,237,403,640,0,1,1,3,33,12,9,57,396,455,185,87,28.9
16,Manipur,4,1,5,0,0,0,1,0,0,0,1,1,2,3,50,60
17,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
18,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
20,Odisha,390,681,1071,0,0,0,8,41,13,0,62,618,680,391,90.9,36.5
21,Punjab,0,2,2,0,0,0,0,0,0,0,0,0,0,2,NA,NA
22,Rajasthan,201,1195,1396,0,3,0,3,612,79,2,696,538,1237,159,43.5,11.4
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
24,Tamil Nadu,8,19,27,0,0,0,0,0,1,0,1,19,20,7,95,25.9
25,Telangana,260,375,635,0,3,0,8,59,10,0,77,229,309,326,74.1,51.3
26,Tripura,1,3,4,0,0,0,0,0,0,0,0,1,1,3,100,75
27,Uttar Pradesh,1,4,5,0,0,0,0,0,0,0,0,4,4,1,100,20
28,Uttarakhand,3,3,6,0,0,0,0,0,0,0,0,3,3,3,100,50
29,West Bengal,163,83,246,0,0,0,8,0,0,0,8,136,144,102,94.4,41.5
Total (States),Total (States),2519,6556,9075,4,9,1,119,912,151,20,1202,5272,6484,2587,81.3,28.5
30,A & N Islands,1,6,7,0,0,0,0,0,0,0,0,5,5,2,100,28.6
31,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
32,D&N Haveli,8,2,10,0,0,0,1,0,0,0,1,0,1,9,0,90
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
34,Delhi,0,2,2,0,0,0,0,0,0,0,0,0,0,2,NA,100
35,Lakshadweep,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,100
36,Puducherry,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,100
Total (UTs),Total (UTs),9,12,21,0,0,0,1,0,0,0,1,5,6,15,83.3,71.4
Total (All-India),Total (All-India),2528,6568,9096,4,9,1,120,912,151,20,1203,5277,6490,2602,81.3,28.6
