S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the Year (Col.5),Total Cases for Investigation (Col.6) = (Col.4+5),Cases Withdrawn by Govt. (Col.7),Cases Transferred to other PS/ Magistrate (Col.8),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10 + Col.11+ Col.12 + Col.13),Cases in which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col.8+Col.9+ Col.14+ Col.15),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 - (Col.7 + Col.16)),Chargesheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ Col.6) * 100
1,IPC Cases,Dowry Deaths,4220,7621,11841,0,13,0,558,254,66,9,887,7067,7967,3874,88.7,32.7
2,IPC Cases,Abetment of Suicides of Women,2228,4466,6694,1,4,0,124,157,34,8,323,3872,4199,2494,92.2,37.3
3,IPC Cases,Causing Miscarriage Without Womens Consent,26,462,488,0,0,0,79,34,1,0,114,268,382,106,70.2,21.7
4,IPC Cases,Deaths Caused by Act Done with Intent to Cause Miscarriage,6,125,131,0,0,0,31,7,4,0,42,84,126,5,66.7,3.8
5,IPC Cases,Acid Attack & Attempt to Acid Attack,80,206,286,0,0,0,21,9,3,0,33,163,196,90,83.2,31.5
6,IPC Cases,Cruelty by Husband or his Relatives,51807,110378,162185,14,280,4,8308,6745,2958,135,18146,91810,110240,51931,83.3,32
7,IPC Cases,Kidnapping & Abduction of Women,38949,64519,103468,8,75,1,13572,8623,10462,477,33134,29084,62294,41166,46.7,39.8
7.1,IPC Cases,Kidnaping & Abduction,11950,20251,32201,6,36,1,3261,2807,5857,180,12105,6183,18325,13870,33.7,43.1
7.2,IPC Cases,Kidnapping & Abduction in order to Murder,55,112,167,0,0,0,21,4,4,1,30,62,92,75,67.4,44.9
7.3,IPC Cases,Kidnapping for Ransom,119,82,201,0,0,0,5,10,7,1,23,63,86,115,73.3,57.2
7.4,IPC Cases,Kidnaping & Abduction of women to compel her for Marriage,20443,33732,54175,1,23,0,8828,3480,3151,147,15606,17668,33297,20877,53.1,38.5
7.5,IPC Cases,Kidnaping & Abduction of Women Other,6382,10342,16724,1,16,0,1457,2322,1443,148,5370,5108,10494,6229,48.7,37.3
8,IPC Cases,Human Trafficking,432,659,1091,0,4,0,59,4,19,0,82,576,662,429,87,39.3
9,IPC Cases,Rape,16124,38947,55071,6,129,2,1474,2839,249,66,4628,33628,38387,16678,87.6,30.3
9.1,IPC Cases,Rape,15405,36770,52175,5,129,2,1350,2421,239,65,4075,31998,36204,15966,88.4,30.6
9.2,IPC Cases,Gang Rape,697,2167,2864,1,0,0,124,418,10,1,553,1604,2157,706,74.4,24.7
9.3,IPC Cases,Custodial Rape,22,10,32,0,0,0,0,0,0,0,0,26,26,6,100,18.8
10,IPC Cases,Attempt to Commit Rape,1803,5729,7532,0,6,0,644,503,29,18,1194,4290,5490,2042,78.1,27.1
11,IPC Cases,Unnatural Offences,59,489,548,0,1,0,123,30,1,0,154,255,410,138,62.2,25.2
12,IPC Cases,Assault on Women with Intent to Outrage her Modesty,30176,84746,114922,6,63,4,4487,4645,1088,198,10418,71638,82123,32793,87.2,28.5
12.1,IPC Cases,Assault on Women,17252,39543,56795,2,33,1,1808,2904,735,125,5572,34156,39762,17031,85.9,30
12.2,IPC Cases,Sexual Harassment,7472,27344,34816,4,16,3,1704,1053,183,55,2995,23416,26430,8382,88.6,24.1
12.3,IPC Cases,Assault on Women with Intent to Disrobe,2502,9737,12239,0,5,0,630,446,104,10,1190,7524,8719,3520,86.3,28.8
12.4,IPC Cases,Voyeurism,340,932,1272,0,1,0,47,27,3,1,78,743,822,450,90.4,35.4
12.5,IPC Cases,Stalking,2610,7190,9800,0,8,0,298,215,63,7,583,5799,6390,3410,90.8,34.8
13,IPC Cases,Insult to the modesty of women,4622,7305,11927,0,6,0,573,400,110,23,1106,6336,7448,4479,85.1,37.6
14,SLL Cases,"Dowry Prohibition Act, 1961",6090,9683,15773,0,59,3,1178,334,148,39,1699,8455,10216,5557,82.8,35.2
15,SLL Cases,Immoral Traffic(Prevention) Act,1066,2214,3280,0,3,0,35,1,5,0,41,1921,1965,1315,97.8,40.1
15.1,SLL Cases,Procuring/Inducing a person for sake of Prostitution(Sec.5),473,1170,1643,0,2,0,14,0,2,0,16,929,947,696,98.1,42.4
15.2,SLL Cases,Detaining a person in premises where prostitution is carried,35,102,137,0,0,0,0,0,0,0,0,81,81,56,100,40.9
15.3,SLL Cases,Prostitution in the vicinity of Public Places (Sec.7),51,134,185,0,0,0,4,0,0,0,4,125,129,56,96.9,30.3
15.4,SLL Cases,Seducing or Soliciting for Prostitution(Sec.8),77,246,323,0,0,0,0,0,0,0,0,229,229,94,100,29.1
15.5,SLL Cases,Other Sections under ITP Act,430,562,992,0,1,0,17,1,3,0,21,557,579,413,96.2,41.6
16,SLL Cases,"Protection of Women from Domestic Violence Act, 2005",126,437,563,0,0,0,10,8,1,0,19,403,422,141,95.5,25
17,SLL Cases,Publishing or Transmitting of Sexually Explicit Material (Sec.67A IT Act),673,930,1603,0,1,0,220,27,21,12,280,400,681,922,58.7,57.5
18,SLL Cases,"Indecent Representation of Women (Prohibition) Act, 1986",41,38,79,0,0,0,3,0,1,0,4,54,58,21,93.1,26.6
Total Crime Against Women,Total Crime Against Women,Total Crime Against Women,158528,338954,497482,35,644,14,31499,24620,15200,985,72304,260304,333266,164181,78.1,33
