S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the Year (Col.5),Total Cases for Investigation (Col.6) = (Col. 4+5),Cases Withdrawn by Govt. (Col.7),Cases Transferred to other Ps or Magistrate (Col.8),Cases not Investigated U/s 157(1) (b) Of Cr.pc (Col.9),Final Report - True But Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-cognizable (Col.13),Final Report - Total (Col.14) = (Col.10+ Col.11+ Col.12+Col.13),Cases in which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col.8+9+14+15),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 -Col.7- Col.16),Chargesheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ (Col.5)) * 100
1,A. Offences Affecting The Human Body,Murder,1406,2194,3600,0,14,0,202,32,51,4,289,1904,2207,1393,86.3,38.7
2,A. Offences Affecting The Human Body,Culpable Homicide Not Amounting To Murder,156,222,378,0,2,0,11,1,3,0,15,170,187,191,90.9,50.5
3,A. Offences Affecting The Human Body,Causing Death By Negligence,5018,9748,14766,0,12,0,2511,107,141,19,2778,6754,9544,5222,70.8,35.4
4,A. Offences Affecting The Human Body,Dowry Deaths,228,506,734,0,1,0,34,11,11,1,57,426,484,250,88,34.1
5,A. Offences Affecting The Human Body,Attempt To Commit Murder,1983,2785,4768,2,12,0,115,47,20,3,185,2265,2462,2304,92,48.3
6,A. Offences Affecting The Human Body,Attempt To Commit Culpable Homicide,1262,917,2179,1,0,0,31,4,13,0,48,687,735,1443,93.5,66.2
7,A. Offences Affecting The Human Body,Grievous Hurt,4445,6947,11392,4,1,1,1847,494,68,12,2421,4221,6644,4744,63.5,41.6
8,A. Offences Affecting The Human Body,Causing Injuries Under Rash Driving,18164,48326,66490,1,15,0,5865,155,365,15,6400,37673,44088,22401,85.4,33.7
9,A. Offences Affecting The Human Body,Assault On Women With Intent To Outrage Her Modesty,7671,10458,18129,1,15,0,723,243,145,10,1121,8576,9712,8416,88.3,46.4
10,A. Offences Affecting The Human Body,Kidnapping & Abduction,10983,15041,26024,16,28,0,4007,1557,5187,27,10778,3560,14366,11642,24.8,44.7
11,A. Offences Affecting The Human Body,Human Trafficking,92,88,180,0,0,0,3,0,0,0,3,111,114,66,97.4,36.7
12,A. Offences Affecting The Human Body,Rape,2376,4935,7311,1,30,0,126,165,59,0,350,4486,4866,2444,92.2,33.4
13,A. Offences Affecting The Human Body,Attempt To Commit Rape,67,64,131,0,1,0,17,1,0,0,18,59,78,53,75.6,40.5
14,A. Offences Affecting The Human Body,Unnatural Offences,185,379,564,0,1,0,18,1,3,0,22,292,315,249,92.7,44.1
Total (a),A. Offences Affecting The Human Body,Total (a),54036,102610,156646,26,132,1,15510,2818,6066,91,24485,71184,95802,60818,74.3,38.8
15,B. Offences Against The State,Offences Against State,0,14,14,0,1,0,1,0,0,0,1,2,4,10,50,71.4
Total (b),B. Offences Against The State,Total (b),0,14,14,0,1,0,1,0,0,0,1,2,4,10,50,71.4
16,C. Offences Against Public Tranquility,Unlawful Assembly,256,994,1250,1,0,0,159,26,32,2,219,524,743,506,70.5,40.5
17,C. Offences Against Public Tranquility,Riots,2645,3111,5756,0,9,0,330,113,32,2,477,2304,2790,2966,82.6,51.5
18,C. Offences Against Public Tranquility,Offences Promoting Enmity Between Different Groups,69,54,123,0,2,0,10,0,4,0,14,19,35,88,54.3,71.5
Total (c),C. Offences Against Public Tranquility,Total (c),2970,4159,7129,1,11,0,499,139,68,4,710,2847,3568,3560,79.8,49.9
19,D. Offences Against Property,Theft,84294,194558,278852,3,352,85,129852,1122,3462,185,134621,23598,158656,120193,14.9,43.1
20,D. Offences Against Property,Criminal Trespass/burglary,16543,25163,41706,1,27,0,16163,321,163,19,16666,6264,22957,18748,27.3,45
21,D. Offences Against Property,Extortion,1007,1503,2510,0,11,0,155,44,22,2,223,940,1174,1336,80.1,53.2
22,D. Offences Against Property,Robbery,9057,8605,17662,0,16,15,4401,83,24,10,4518,5407,9956,7706,54.3,43.6
23,D. Offences Against Property,Dacoity,290,345,635,0,1,0,21,8,3,1,33,264,298,337,88.6,53.1
24,D. Offences Against Property,Making Preparation And Assembly For Committing Dacoity,199,482,681,0,0,0,0,0,0,0,0,509,509,172,100,25.3
25,D. Offences Against Property,Criminal Breach Of Trust,4495,3119,7614,6,31,0,769,58,142,7,976,1665,2672,4936,62.3,64.8
26,D. Offences Against Property,Cheating,32208,25658,57866,9,254,5,8228,1626,3535,196,13585,9782,23626,34231,41.4,59.2
27,D. Offences Against Property,Arson,498,636,1134,0,1,0,254,5,8,0,267,279,547,587,51,51.8
Total (d),D. Offences Against Property,Total (d),148591,260069,408660,19,693,105,159843,3267,7359,420,170889,48708,220395,188246,22.1,46.1
28,E. Offences Relating To Documents & Property Marks,Counterfeiting,1528,300,1828,0,2,0,221,1,6,1,229,105,336,1492,31.3,81.6
29,E. Offences Relating To Documents & Property Marks,Forgery,2699,1657,4356,2,30,0,210,16,16,0,242,856,1128,3226,75.9,74.1
Total (e),E. Offences Relating To Documents & Property Marks,Total (e),4227,1957,6184,2,32,0,431,17,22,1,471,961,1464,4718,65.6,76.3
30,Cruelty By Husband Or His Relatives,Cruelty By Husband Or His Relatives,12044,12218,24262,5,33,1,1688,302,832,2,2824,8732,11590,12667,75.3,52.2
31,Insult To The Modesty Of Women,Insult To The Modesty Of Women,2313,1917,4230,0,1,0,374,25,38,0,437,1526,1964,2266,77.7,53.6
32,Other Ipc Crimes *,Other IPC Crimes *,52072,130691,182763,10,181,2,12034,1959,1437,154,15584,113223,128990,53763,87.8,29.4
Total Cognizable Ipc Crimes,Total Cognizable Ipc Crimes,Total Cognizable Ipc Crimes,276253,513635,789888,63,1084,109,190380,8527,15822,672,215401,247183,463777,326048,53.3,41.3
