S. No (Col.1),Purpose (Col.2),Sex-Wise / Age Group-Wise (Child Victims) - Below 6 Years - Male (Col.3),Sex-Wise / Age Group-Wise (Child Victims) - Below 6 Years - Female (Col.4),Sex-Wise / Age Group-Wise (Child Victims) - Below 6 Years - Total (Col.5),Sex-Wise / Age Group-Wise (Child Victims) - 6 Years to 12 Years - Male (Col.6),Sex-Wise / Age Group-Wise (Child Victims) - 6 Years to 12 Years - Female (Col.7),Sex-Wise / Age Group-Wise (Child Victims) - 6 Years to 12 Years - Total (Col.8),Sex-Wise / Age Group-Wise (Child Victims) - 12 Years to 16 Years - Male (Col.9),Sex-Wise / Age Group-Wise (Child Victims) - 12 Years to 16 Years - Female (Col.10),Sex-Wise / Age Group-Wise (Child Victims) - 12 Years to 16 Years - Total (Col.11),Sex-Wise / Age Group-Wise (Child Victims) - 16 Years to 18 Years - Male (Col.12),Sex-Wise / Age Group-Wise (Child Victims) - 16 Years to 18 Years - Female (Col.13),Sex-Wise / Age Group-Wise (Child Victims) - 16 Years to 18 Years - Total (Col.14),Total Child Victims - Male (Col.15),Total Child Victims - Female (Col.16),Total Child Victims - Total (Col.17),Sex-Wise / Age Group-Wise (Adult Victims) - 18 Years to 30 Years - Male (Col.18),Sex-Wise / Age Group-Wise (Adult Victims) - 18 Years to 30 Years - Female (Col.19),Sex-Wise / Age Group-Wise (Adult Victims) - 18 Years to 30 Years - Total (Col.20),Sex-Wise / Age Group-Wise (Adult Victims) - 30 Years to 60 Years - Male (Col.21),Sex-Wise / Age Group-Wise (Adult Victims) - 30 Years to 60 Years - Female (Col.22),Sex-Wise / Age Group-Wise (Adult Victims) - 30 Years to 60 Years - Total (Col.23),Sex-Wise / Age Group-Wise (Adult Victims) - 60 Years & Above - Male (Col.24),Sex-Wise / Age Group-Wise (Adult Victims) - 60 Years & Above - Female (Col.25),Sex-Wise / Age Group-Wise (Adult Victims) - 60 Years & Above - Total (Col.26),Total Adult Victims - Male (Col.27),Total Adult Victims - Female (Col.28),Total Adult Victims - Total (Col.29),Total Kidnapped/ Abducted * - Male (Col.30),Total Kidnapped/ Abducted * - Female (Col.31),Total Kidnapped/ Abducted * - Total (Col.32),Purpose-wise % Share of Victims to Total (Col.33)
1,For Marriage,0,1,1,0,49,49,0,355,355,0,658,658,0,1063,1063,0,771,771,0,107,107,0,0,0,0,878,878,0,1941,1941,12.4
2,For Illicit Intercourse,0,0,0,0,8,8,8,76,84,4,241,245,12,325,337,0,21,21,0,8,8,0,0,0,0,29,29,12,354,366,2.3
3,For Murder,2,0,2,2,0,2,1,0,1,1,0,1,6,0,6,33,0,33,7,0,7,0,0,0,40,0,40,46,0,46,0.3
4,For Unlawful Activity,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
5,For Adoption,11,5,16,2,4,6,0,15,15,0,47,47,13,71,84,0,12,12,0,6,6,0,0,0,0,18,18,13,89,102,0.7
6,For Ransom,4,0,4,7,0,7,5,0,5,2,1,3,18,1,19,37,5,42,50,3,53,3,0,3,90,8,98,108,9,117,0.7
7,For Revenge,7,4,11,64,4,68,51,18,69,92,0,92,214,26,240,147,4,151,7,1,8,0,0,0,154,5,159,368,31,399,2.6
8,For Prostitution,0,0,0,0,0,0,0,4,4,0,23,23,0,27,27,0,5,5,0,2,2,0,0,0,0,7,7,0,34,34,0.2
9,For Begging,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
10,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,For Sale,1,3,4,2,1,3,1,1,2,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0.1
12,For Selling Body Parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Others Purposes,259,240,499,1015,523,1538,2303,3033,5336,1121,2800,3921,4698,6596,11294,447,555,1002,217,94,311,4,3,7,668,652,1320,5366,7248,12614,80.7
Total Kidnapped & Abducted,Total Kidnapped & Abducted,284,254,538,1092,589,1681,2369,3503,5872,1220,3770,4990,4965,8116,13081,664,1373,2037,281,221,502,7,3,10,952,1597,2549,5917,9713,15630,100
Victims Age Group-wise Percentage Share,Victims Age Group-wise Percentage Share,NA,NA,3.4,NA,NA,10.8,NA,NA,37.6,NA,NA,31.9,NA,NA,83.7,NA,NA,13,NA,NA,3.2,NA,NA,0.1,NA,NA,16.3,NA,NA,100,NA
