S. No.,Category,State/UT,"Juvenile Justice (Care And Protection of Children) Act, 2000","Arms Act, 1959","Excise Act, 1944","Gambling Act, 1867",Prohibition Act (State),"Narcotic Drugs & Psychotropic Substances Act, 1985","Information Technology Act, 2000","SC/ST (Prevention of Atrocities) Act, 1989","Explosives & Explosive Substances Act, 1884 & 1908","Indian Railways Act, 1989","Unlawful Activities (Prevention) Act, 1967",Other SLL Crimes *,Total Cognizable SLL Crimes,Total Crimes (IPC+SLL)
1,State,Andhra Pradesh,0,0,0,0,0,5,0,0,0,0,0,2,7,809
2,State,Arunachal Pradesh,0,1,0,0,0,0,0,0,0,0,0,0,1,57
3,State,Assam,2,7,0,1,0,4,1,0,2,0,0,16,33,436
4,State,Bihar,0,79,33,28,0,1,5,0,0,1,0,19,166,2335
5,State,Chhattisgarh,6,9,42,40,0,9,0,0,0,0,0,13,119,1953
6,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,21
7,State,Gujarat,0,1,0,24,65,0,2,5,0,0,0,23,120,1681
8,State,Haryana,0,7,40,19,0,11,1,0,0,0,0,57,135,1186
9,State,Himachal Pradesh,0,1,0,0,0,7,0,0,0,0,0,2,10,204
10,State,Jammu & Kashmir,0,0,4,0,0,5,0,0,0,0,0,1,10,198
11,State,Jharkhand,0,11,0,0,0,1,1,0,0,0,0,1,14,140
12,State,Karnataka,1,1,2,1,0,2,1,3,0,0,0,6,17,453
13,State,Kerala,0,2,0,0,12,43,0,0,0,1,0,17,75,628
14,State,Madhya Pradesh,0,38,55,31,1,3,2,0,0,0,0,20,150,7369
15,State,Maharashtra,5,16,0,28,81,23,1,8,0,1,0,204,367,6606
16,State,Manipur,0,0,0,0,0,1,0,0,0,0,1,2,4,10
17,State,Meghalaya,0,0,0,0,0,6,0,0,0,0,0,8,14,84
18,State,Mizoram,0,0,0,0,0,2,0,0,0,0,0,2,4,53
19,State,Nagaland,0,0,0,0,1,1,0,0,0,0,0,0,2,18
20,State,Odisha,0,3,5,5,0,3,1,0,0,0,0,0,17,994
21,State,Punjab,0,2,2,0,0,7,0,0,0,0,0,3,14,117
22,State,Rajasthan,0,19,23,5,0,7,1,0,1,0,0,36,92,2273
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,2,2,27
24,State,Tamil Nadu,209,1,0,3,11,19,1,0,0,0,0,286,530,2217
25,State,Telangana,0,0,0,0,2,2,0,1,0,0,0,2,7,998
26,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,1,1,25
27,State,Uttar Pradesh,0,11,4,18,0,1,1,0,0,0,0,63,98,1438
28,State,Uttarakhand,0,0,0,1,0,0,0,0,0,0,0,0,1,124
29,State,West Bengal,0,9,0,1,0,8,4,0,2,0,0,66,90,709
Total (States),State,Total (States),223,218,210,205,173,171,22,17,5,3,1,852,2100,33163
30,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,12
31,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,96
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,7
34,UT,Delhi,1,10,15,6,0,1,0,0,0,0,0,14,47,2499
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,5,5,72
Total (UTs),UT,Total (UTs),1,10,15,6,0,1,0,0,0,0,0,19,52,2686
Total (All India),Total (All India),Total (All India),224,228,225,211,173,172,22,17,5,3,1,871,2152,35849
