S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the year (Col.5),Total Cases for Investigation (Col.6) = (Col. 4+5),Cases Withdrawn by Govt. (Col.7),Cases Transferred to other PS or Magistrate (Col.8),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10+ Col.11+ Col.12+ Col.13),Cases in Which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col.8+9+14+15),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 -Col.7- Col.16),Chargesheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ (Col.6)) * 100
1,A. Offences Affecting the Human Body,Murder,24576,30450,55026,4,126,1,3037,1029,523,85,4674,27538,32339,22683,85.2,41.2
2,A. Offences Affecting the Human Body,Culpable Homicide not Amounting to Murder,1970,3203,5173,0,3,0,319,107,49,19,494,2750,3247,1926,84.7,37.2
3,A. Offences Affecting the Human Body,Causing Death by Negligence,44571,140215,184786,4,62,15,24001,2015,2324,1167,29507,105266,134850,49932,78.1,27
4,A. Offences Affecting the Human Body,Dowry Deaths,4220,7621,11841,0,13,0,558,254,66,9,887,7067,7967,3874,88.7,32.7
5,A. Offences Affecting the Human Body,Attempt to Commit Murder,25324,49667,74991,8,57,4,2583,1208,325,434,4550,43383,47994,26989,90.4,36
6,A. Offences Affecting the Human Body,Attempt to Commit Culpable Homicide,2868,7527,10395,3,0,0,332,69,45,16,462,6343,6805,3587,93.2,34.5
7,A. Offences Affecting the Human Body,Grievous Hurt,35560,89039,124599,7,40,2,8381,1586,540,891,11398,76820,88260,36332,87,29.2
8,A. Offences Affecting the Human Body,Causing Injuries under Rash Driving,85606,348914,434520,1,57,18,26792,2825,4080,921,34618,299932,334625,99894,89.6,23
9,A. Offences Affecting the Human Body,Assault on Women with Intent to Outrage her Modesty,30176,84746,114922,6,63,4,4487,4645,1088,198,10418,71638,82123,32793,87.2,28.5
10,A. Offences Affecting the Human Body,Kidnapping & Abduction,53553,88008,141561,25,113,1,18812,12533,15929,850,48124,36996,85234,56302,43.4,39.8
11,A. Offences Affecting the Human Body,Human Trafficking,609,918,1527,0,7,0,84,9,22,0,115,786,908,619,86.6,40.5
12,A. Offences Affecting the Human Body,Rape,16124,38947,55071,6,129,2,1474,2839,249,66,4628,33628,38387,16678,87.6,30.3
13,A. Offences Affecting the Human Body,Attempt to Commit Rape,1803,5729,7532,0,6,0,644,503,29,18,1194,4290,5490,2042,78.1,27.1
14,A. Offences Affecting the Human Body,Unnatural Offences,525,2187,2712,0,7,0,219,77,6,0,302,1676,1985,727,84.4,26.8
Total (A),A. Offences Affecting the Human Body,Total (A),327485,897171,1224656,64,683,47,91723,29699,25275,4674,151371,718113,870214,354378,82.5,28.9
15,B. Offences against the State,Offences Against State,483,178,661,0,1,0,31,3,1,0,35,47,83,578,56.6,87.4
Total (B),B. Offences against the State,Total (B),483,178,661,0,1,0,31,3,1,0,35,47,83,578,56.6,87.4
