Category,Particulars,Number of Incidents,Seizure/Recovered (Quantity in Kg./Litre/Number),Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Child,Persons Arrested - Total,Cases Registered in Local Police Station/NCB/Other Agencies
1. Seizures of Fire Arms (In Nos.),5.56 mm INSAS Rifle,1,1,NA,NA,NA,NA,NA
1. Seizures of Fire Arms (In Nos.),7.62 mm SLR/Fall,1,3,NA,NA,NA,NA,NA
1. Seizures of Fire Arms (In Nos.),9 mm Baretta,1,1,NA,NA,NA,NA,NA
1. Seizures of Fire Arms (In Nos.),9 mm Pistol,1,1,1,NA,NA,1,NA
1. Seizures of Fire Arms (In Nos.),Air Gun,1,2,NA,NA,NA,NA,NA
1. Seizures of Fire Arms (In Nos.),AK Series,7,16,1,NA,NA,1,NA
1. Seizures of Fire Arms (In Nos.),Bharmar Gun,1,2,NA,NA,NA,NA,NA
1. Seizures of Fire Arms (In Nos.),Gun,5,7,3,NA,NA,3,NA
1. Seizures of Fire Arms (In Nos.),Other Arms,11,17,5,NA,NA,5,NA
1. Seizures of Fire Arms (In Nos.),Pikka Gun,1,1,NA,NA,NA,NA,NA
1. Seizures of Fire Arms (In Nos.),Pist/Rev,49,99,48,2,,50,NA
1. Seizures of Fire Arms (In Nos.),Pump Action Gun,1,1,NA,NA,NA,NA,NA
1. Seizures of Fire Arms (In Nos.),SBML Gun,31,76,2,NA,NA,2,NA
1. Seizures of Fire Arms (In Nos.),UBGL,2,3,NA,NA,NA,NA,NA
2. Seizure of Ammunitions,7.65,3,71,1,NA,NA,1,NA
2. Seizure of Ammunitions,AK Amn.,6,1126,1,NA,NA,1,NA
2. Seizure of Ammunitions,Ammunition,38,778,30,NA,NA,30,NA
2. Seizure of Ammunitions,Other Amn.,12,110,9,NA,NA,9,NA
3. Explosives,Bomb,1,16,1,NA,NA,1,NA
3. Explosives,Detonator,15,2942,1,NA,NA,1,NA
3. Explosives,Gelatin Sticks,12,431,1,NA,NA,1,NA
3. Explosives,Grenade,11,45,NA,NA,NA,NA,NA
3. Explosives,Gun Powder,5,0.84,NA,NA,NA,NA,NA
3. Explosives,LED,25,69,NA,NA,NA,NA,NA
3. Explosives,Mine,2,2,1,NA,NA,1,NA
3. Explosives,Other Explosive,5,456.23,NA,NA,NA,NA,NA
3. Explosives,Safety Fuse,1,114.333,NA,NA,NA,NA,NA
4.  Seizure of Narcotics Drugs/Medicine & Syrp Bottles,a) Narcotics (In Kg) - Brown Sugar,11,3.125,3,1,1,5,NA
4.  Seizure of Narcotics Drugs/Medicine & Syrp Bottles,a) Narcotics (In Kg) - Cocaine,1,3.73,NA,NA,NA,NA,NA
4.  Seizure of Narcotics Drugs/Medicine & Syrp Bottles,a) Narcotics (In Kg) - Ganja,744,11698.025,54,NA,NA,54,NA
4.  Seizure of Narcotics Drugs/Medicine & Syrp Bottles,a) Narcotics (In Kg) - Heroin,55,248.48,21,3,1,25,NA
4.  Seizure of Narcotics Drugs/Medicine & Syrp Bottles,a) Narcotics (In Kg) - Opium,8,31.702,12,1,,13,NA
4.  Seizure of Narcotics Drugs/Medicine & Syrp Bottles,a) Narcotics (In Kg) - Poppy,9,201.99,10,1,,11,NA
4.  Seizure of Narcotics Drugs/Medicine & Syrp Bottles,b) Psychotropic Substances - Methaqualone (In Kg),1,0.14,6,NA,NA,6,NA
4.  Seizure of Narcotics Drugs/Medicine & Syrp Bottles,c) Other Medicine (Tab in Nos),526,816367,44,3,0,47,NA
4.  Seizure of Narcotics Drugs/Medicine & Syrp Bottles,d) Bottle Syrup (Phensidyl Bottles in Nos.),2223,433689,87,19,0,106,NA
"5. Seizures of FICN/Indian Currency/Foreign Currency, Perts of Wildlife & Other Products",a) FICN,40,15284000,12,NA,NA,12,NA
"5. Seizures of FICN/Indian Currency/Foreign Currency, Perts of Wildlife & Other Products",b) Indian Currency (In Rs.),507,11661994,770,157,51,978,NA
"5. Seizures of FICN/Indian Currency/Foreign Currency, Perts of Wildlife & Other Products",c) Foreign Currency - BD Currency,317,7135029,306,96,15,417,NA
"5. Seizures of FICN/Indian Currency/Foreign Currency, Perts of Wildlife & Other Products",c) Foreign Currency - PAK Currency,25,9205,25,NA,6,31,NA
"5. Seizures of FICN/Indian Currency/Foreign Currency, Perts of Wildlife & Other Products",c) Foreign Currency - Burmees Currency,3,217327.84,6,NA,NA,6,NA
"5. Seizures of FICN/Indian Currency/Foreign Currency, Perts of Wildlife & Other Products",c) Foreign Currency - Other Currency,35,1679730.24,48,6,,54,NA
6. Seizures of Parts of Wildlife (In Nos.),Birds,1,33,NA,NA,NA,NA,NA
6. Seizures of Parts of Wildlife (In Nos.),Tortoise,14,241,1,NA,NA,1,NA
6. Seizures of Parts of Wildlife (In Nos.),Liquor (In Bottle),933,68942,56,2,,58,NA
6. Seizures of Parts of Wildlife (In Nos.),Electronic Items,97,16073,38,3,3,44,NA
6. Seizures of Parts of Wildlife (In Nos.),Cattle (In No.),20903,168801,661,NA,NA,661,NA
6. Seizures of Parts of Wildlife (In Nos.),Forest Produced (CFT),235,9865.389,7,NA,NA,7,NA
