S. No.,Drugs,State Police,Directorate of Revenue Intelligence,Narcotics Control Bureau,State Excise,Central Bureau of Narcotics,Customs & Central Excise,Total
1,Opium,2014,0,176,20,41,0,2251
2,Morphine,14,0,12,0,2,0,28
3,Heroin,1441,57,163,4,5,5,1675
4,Ganja,269365,12968,8934,3041,22,17,294347
5,Hashish,1917,469,324,0,95,0,2805
6,Cocaine,10,6,12,0,0,0,28
7,Methaqualone,554,23500,23,0,0,30,24107
8,Ephedrine/Pseudo Ephedrine,20810,364,64,0,0,35,21273
10,Acetic Anhydride,2659,2,0,0,0,0,2661
11,ATS,1422,4,257,0,0,4,1687
Total,Total,300206,37370,9965,3065,165,91,350862
