S. No.,State/UT,Persons Arrested,Persons Chargesheeted,Persons Convicted,Persons Acquitted/ Discharged by the Court
1,Andhra Pradesh,599,265,2,286
2,Arunachal Pradesh,5,0,0,0
3,Assam,98,37,0,0
4,Bihar,114,114,0,0
5,Chhattisgarh,193,46,0,0
6,Goa,76,60,0,0
7,Gujarat,554,82,6,0
8,Haryana,281,105,2,0
9,Himachal Pradesh,223,1653,2,0
10,Jammu & Kashmir,0,0,0,16
11,Jharkhand,83,75,0,0
12,Karnataka,1273,16,0,0
13,Kerala,157,79,0,3
14,Madhya Pradesh,170,6,0,0
15,Maharashtra,1173,328,6,4
16,Manipur,5,0,0,0
17,Meghalaya,14,0,0,0
18,Mizoram,5,0,0,0
19,Nagaland,0,0,0,0
20,Odisha,150,120,0,0
21,Punjab,28,37,0,0
22,Rajasthan,1087,950,47,42
23,Sikkim,1,0,0,0
24,Tamil Nadu,1725,1242,72,173
25,Telangana,591,113,0,0
26,Tripura,0,0,0,0
27,Uttar Pradesh,172,101,11,0
28,Uttarakhand,37,58,0,5
29,West Bengal,1847,1795,11,224
Total (States),Total (States),10661,7282,159,753
30,A & N Islands,7,7,0,0
31,Chandigarh,3,3,0,0
32,D&N Haveli,0,0,0,0
33,Daman & Diu,38,0,0,0
34,Delhi,106,0,0,0
35,Lakshadweep,0,0,0,0
36,Puducherry,0,0,0,0
Total (UTs),Total (UTs),154,10,0,0
Total (All India),Total (All India),10815,7292,159,753
