S. No.,State/UT (Col.2),Cases Pending Investigation from Previous Year (Col.3),Cases Reported during the Year (Col.4),Total Cases for Investigation (Col.5) = (Col. 3+4),Cases Withdrawn by Govt. (Col.6),Cases Transferred to other PS or Magistrate (Col.7),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.8),Final Report - True but Insufficient Evidence (Col.9),Final Report - False (Col.10),Final Report - Mistake of Fact (Col.11),Final Report - Non-Cognizable (Col.12),Final Report - Total (Col.13) = (Col.9+ Col.10+ Col.11+ Col.12),Cases in which Chargesheets were Submitted (Col.14),Total Cases Disposed off by Police (Col.15) = (Col. 7+8+13+ 14),Cases Pending Investigation at the End of the Year (Col.16) = (Col. 5 - (Col.6+ Col.15)),Chargesheeting Rate (Col.17) = (Col.14/ Col.15) * 100,Pendency Percentage (Col.18) = (Col.16/ (Col.5)) * 100
1,Andhra Pradesh,2147,2335,4482,0,1,0,16,723,87,4,830,1206,2037,2445,59.2,54.6
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
3,Assam,3,4,7,0,0,0,0,0,0,0,0,3,3,4,100,57.1
4,Bihar,4089,5701,9790,0,0,0,46,135,46,24,251,5228,5479,4311,95.4,44
5,Chhattisgarh,58,243,301,0,0,0,2,0,0,0,2,250,252,49,99.2,16.3
6,Goa,5,11,16,0,0,0,2,0,1,0,3,3,6,10,50,62.5
7,Gujarat,112,1322,1434,13,0,0,18,26,7,19,70,1198,1268,153,94.5,10.7
8,Haryana,100,639,739,0,0,0,4,169,0,1,174,476,650,89,73.2,12
9,Himachal Pradesh,28,116,144,0,0,0,1,19,7,0,27,86,113,31,76.1,21.5
10,Jammu & Kashmir,0,1,1,0,0,0,0,0,0,0,0,1,1,0,100,0
11,Jharkhand,921,525,1446,0,0,0,115,69,8,22,214,281,495,951,56.8,65.8
12,Karnataka,833,1869,2702,0,21,0,15,294,34,0,343,1493,1857,845,80.4,31.3
13,Kerala,537,810,1347,2,3,2,32,194,28,3,257,444,706,639,62.9,47.4
14,Madhya Pradesh,244,4922,5166,0,0,0,2,18,13,19,52,4611,4663,503,98.9,9.7
15,Maharashtra,826,1750,2576,1,2,4,20,119,60,59,258,1490,1754,821,84.9,31.9
16,Manipur,2,2,4,0,0,0,0,0,0,0,0,3,3,1,100,25
17,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
18,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
20,Odisha,1296,1796,3092,0,2,0,42,250,78,2,372,1436,1810,1282,79.3,41.5
21,Punjab,137,132,269,0,0,0,6,45,6,0,57,82,139,130,59,48.3
22,Rajasthan,732,5134,5866,0,1,0,11,2632,292,18,2953,2391,5345,521,44.7,8.9
23,Sikkim,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,100
24,Tamil Nadu,614,1291,1905,0,2,0,97,0,172,0,269,992,1263,642,78.5,33.7
25,Telangana,957,1529,2486,0,7,0,75,242,30,2,349,780,1136,1350,68.7,54.3
26,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
27,Uttar Pradesh,1575,10426,12001,0,0,0,1624,411,0,0,2035,8387,10422,1579,80.5,13.2
28,Uttarakhand,24,65,89,0,0,0,10,1,0,2,13,39,52,37,75,41.6
29,West Bengal,197,119,316,0,1,0,8,0,0,0,8,127,136,180,93.4,57
Total (States),Total (States),15437,40743,56180,16,40,6,2146,5347,869,175,8537,31007,39590,16574,78.3,29.5
30,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
31,Chandigarh,1,1,2,0,0,0,0,0,0,0,0,0,0,2,NA,100
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
33,Daman & Diu,2,0,2,0,0,0,0,0,0,0,0,0,0,2,NA,100
34,Delhi,55,54,109,0,0,0,3,0,0,0,3,32,35,74,91.4,67.9
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
36,Puducherry,3,3,6,0,0,0,1,0,0,0,1,3,4,2,75,33.3
Total (UTs),Total (UTs),61,58,119,0,0,0,4,0,0,0,4,35,39,80,89.7,67.2
Total (All-India),Total (All-India),15498,40801,56299,16,40,6,2150,5347,869,175,8541,31042,39629,16654,78.3,29.6
