S. No (Col.1),City (Col.2),Cases Pending Trial from the Previous Year (Col.3),Cases Sent for Trial during the Year (Col.4),Total Cases for Trial during the Year (Col.5) = (Col.3+4),Number of Cases Withdrawn by the Govt. (Col.6),Number of Cases Disposed by Plea Bargaining (Col.7),Cases Compounded (Col.8),Cases in which Trials were Completed (Col.9) = (Col. 10+11),Cases Convicted (Col.10),Cases Acquitted or Discharged (Col.11),Total Cases Disposed off by Courts (Col.12) = (Col.6+ Col.7+ Col.8+ Col.9),Cases Pending Trial at the End of the Year (Col.13) = (Col.5 - Col.12),Conviction Rate (Col.14) = (Col.10/ Col.9) * 100,Pendency Percentage (Col.15) = (Col.13/ Col.5) * 100
1,Ahmedabad (Gujarat),27,38,65,0,0,0,2,0,2,2,63,0,96.9
2,Bengaluru (Karnataka),143,88,231,0,0,0,16,5,11,16,215,31.3,93.1
3,Chennai (Tamil Nadu),10,0,10,0,0,0,0,0,0,0,10,NA,100
4,Coimbatore (Tamil Nadu),28,6,34,0,0,0,5,0,5,5,29,0,85.3
5,Delhi,122,34,156,0,0,0,3,0,3,3,153,0,98.1
6,Ghaziabad (Uttar Pradesh),33,10,43,0,0,0,6,2,4,6,37,33.3,86
7,Hyderabad (Telangana),28,59,87,0,0,0,6,0,6,6,81,0,93.1
8,Indore (Madhya Pradesh),124,16,140,0,0,0,9,6,3,9,131,66.7,93.6
9,Jaipur (Rajasthan),117,26,143,0,0,0,3,1,2,3,140,33.3,97.9
10,Kanpur (Uttar Pradesh),24,50,74,0,0,0,4,2,2,4,70,50,94.6
11,Kochi (Kerala),83,19,102,0,0,0,4,0,4,4,98,0,96.1
12,Kolkata (West Bengal),68,37,105,0,0,0,12,0,12,12,93,0,88.6
13,Kozhikode (Kerala),14,4,18,0,0,0,2,0,2,2,16,0,88.9
14,Lucknow (Uttar Pradesh),31,184,215,0,0,0,0,0,0,0,215,NA,100
15,Mumbai (Maharashtra),273,129,402,0,0,0,4,2,2,4,398,50,99
16,Nagpur (Maharashtra),48,21,69,0,0,0,0,0,0,0,69,NA,100
17,Patna (Bihar),40,44,84,0,0,0,15,0,15,15,69,0,82.1
18,Pune (Maharashtra),115,33,148,0,0,0,4,0,4,4,144,0,97.3
19,Surat (Gujarat),73,15,88,0,0,0,0,0,0,0,88,NA,100
Total Cities,Total Cities,1401,813,2214,0,0,0,95,18,77,95,2119,18.9,95.7
