S. No. (Col.1),State/UT (Col.2),Cases Pending Investigation from Previous Year (Col.3),Cases Reported during the Year (Col.4),Total Cases for Investigation (Col.5) = (Col. 3+4),Cases Withdrawn by Govt (Col.6),Cases Transferred to other PS or Magistrate (Col.7),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.8),Final Report - True but Insufficient Evidence (Col.9),Final Report - False (Col.10),Final Report - Mistake of Fact (Col.11),Final Report - Non-Cognizable (Col.12),Final Report - Total (Col.13) = (Col.9+ Col.10+ Col.11+ Col.12),Cases in which Chargesheets were Submitted (Col.14),Total Cases Disposed off by Police (Col.15) = (Col.7+Col.8+Col.13+Col.14),Cases Pending Investigation at the End of the Year (Col.16) = (col. 5 - (Col.6+15)),Chargesheeting Rate (Col.17) = (Col.14/ Col.15) * 100,Pendency Percentage (Col.18) = (Col.16/ (Col.5)) * 100
1,Andhra Pradesh,1565,1847,3412,0,5,0,97,145,49,2,293,1405,1703,1709,82.5,50.1
2,Arunachal Pradesh,73,133,206,0,0,0,29,8,18,2,57,71,128,78,55.5,37.9
3,Assam,1991,3964,5955,0,1,0,1263,0,0,0,1263,1338,2602,3353,51.4,56.3
4,Bihar,1468,3932,5400,0,0,0,140,27,631,20,818,2898,3716,1684,78,31.2
5,Chhattisgarh,1023,4746,5769,0,0,1,249,928,169,0,1346,3365,4712,1057,71.4,18.3
6,Goa,206,230,436,0,2,0,34,3,57,0,94,130,226,210,57.5,48.2
7,Gujarat,750,3637,4387,3,2,1,474,14,497,3,988,2641,3632,752,72.7,17.1
8,Haryana,488,3099,3587,0,0,0,248,1289,0,14,1551,1628,3179,408,51.2,11.4
9,Himachal Pradesh,150,467,617,0,0,0,23,172,29,0,224,245,469,148,52.2,24
10,Jammu & Kashmir,193,222,415,0,0,0,13,102,0,0,115,92,207,208,44.4,50.1
11,Jharkhand,204,717,921,0,0,0,54,8,31,12,105,429,534,387,80.3,42
12,Karnataka,1662,4455,6117,0,46,0,129,1028,420,0,1577,2211,3834,2283,57.7,37.3
13,Kerala,1631,2879,4510,0,12,0,58,50,17,0,125,2663,2800,1710,95.1,37.9
14,Madhya Pradesh,3970,13746,17716,0,3,0,420,1972,1064,474,3930,9527,13460,4256,70.8,24
15,Maharashtra,8405,14559,22964,0,9,0,1106,215,4744,48,6113,7239,13361,9603,54.2,41.8
16,Manipur,598,134,732,0,0,0,24,0,0,0,24,68,92,640,73.9,87.4
17,Meghalaya,462,240,702,0,1,0,83,3,15,0,101,135,237,465,57,66.2
18,Mizoram,27,188,215,0,2,0,1,0,2,0,3,164,169,46,97,21.4
19,Nagaland,28,78,106,0,0,0,25,0,0,0,25,31,56,50,55.4,47.2
20,Odisha,1496,3286,4782,0,5,0,18,49,319,0,386,2319,2710,2072,85.6,43.3
21,Punjab,1254,1843,3097,0,0,0,151,353,155,0,659,835,1494,1603,55.9,51.8
22,Rajasthan,470,4034,4504,0,1,0,249,631,874,9,1763,2323,4087,417,56.8,9.3
23,Sikkim,22,110,132,0,0,0,7,0,0,0,7,86,93,39,92.5,29.5
24,Tamil Nadu,1361,2856,4217,0,5,0,328,0,47,0,375,2144,2524,1693,84.9,40.1
25,Telangana,1310,2909,4219,0,11,0,220,72,223,3,518,2167,2696,1523,80.4,36.1
26,Tripura,95,274,369,0,0,0,13,4,45,1,63,201,264,105,76.1,28.5
27,Uttar Pradesh,2241,16079,18320,0,0,0,4288,432,0,0,4720,9753,14473,3847,67.4,21
28,Uttarakhand,106,676,782,0,1,0,247,35,0,1,283,267,551,231,48.5,29.5
29,West Bengal,3565,7004,10569,0,10,0,446,0,1,57,504,4641,5155,5414,90,51.2
Total (States),Total (States),36814,98344,135158,3,116,2,10437,7540,9407,646,28030,61016,89164,45991,68.4,34
30,A & N Islands,21,86,107,0,0,0,1,1,10,0,12,53,65,42,81.5,39.3
31,Chandigarh,133,222,355,0,0,0,15,0,109,0,124,87,211,144,41.2,40.6
32,D&N Haveli,17,21,38,0,0,0,5,6,0,0,11,16,27,11,59.3,28.9
33,Daman & Diu,16,31,47,0,0,0,1,0,21,0,22,10,32,15,31.3,31.9
34,Delhi,8322,8178,16500,16,10,0,2088,687,2440,0,5215,2114,7339,9145,28.8,55.4
35,Lakshadweep,3,5,8,0,0,0,0,0,0,0,0,5,5,3,100,37.5
36,Puducherry,19,71,90,0,0,0,5,0,1,0,6,51,57,33,89.5,36.7
Total (UTs),Total (UTs),8531,8614,17145,16,10,0,2115,694,2581,0,5390,2336,7736,9393,30.2,54.8
Total (All-India),Total (All-India),45345,106958,152303,19,126,2,12552,8234,11988,646,33420,63352,96900,55384,65.4,36.4
