S. No.,Category,Crime Head,Incidence - 2014,Crime Rate - 2014,Incidence - 2015,Crime Rate - 2015,Incidence - 2016,Crime Rate - 2016,Percentage Share to IPC Crimes - 2016
1,A. Offences Affecting the Human Body,Murder,33981,2.7,32127,2.6,30450,2.4,1
2,A. Offences Affecting the Human Body,Culpable Homicide not Amounting to Murder,3332,0.3,3176,0.3,3203,0.3,0.1
3,A. Offences Affecting the Human Body,Causing Death by Negligence,128771,10.4,134384,10.7,140215,11,4.7
4,A. Offences Affecting the Human Body,Dowry Deaths $,8455,1.4,7634,1.3,7621,1.2,0.3
5,A. Offences Affecting the Human Body,Attempt to Commit Murder,41791,3.4,46471,3.7,49667,3.9,1.7
6,A. Offences Affecting the Human Body,Attempt to Commit Culpable Homicide,4358,0.4,6118,0.5,7527,0.6,0.3
7,A. Offences Affecting the Human Body,Grievous Hurt,105201,8.5,92996,7.4,89039,7,3
8,A. Offences Affecting the Human Body,Causing Simple & Grevious Injuries under Rash Driving,409899,32.9,451069,35.8,348914,27.4,11.7
9,A. Offences Affecting the Human Body,Assault on Women with Intent to Outrage her Modesty $,82235,13.7,82422,13.6,84746,13.8,2.8
10,A. Offences Affecting the Human Body,Kidnapping & Abduction,77237,6.2,82999,6.6,88008,6.9,3
11,A. Offences Affecting the Human Body,Human Trafficking,733,0.1,1027,0.2,918,0.1,0
12,A. Offences Affecting the Human Body,Rape $,36735,6.1,34651,5.7,38947,6.3,1.3
13,A. Offences Affecting the Human Body,Attempt to Commit Rape $,4234,0.7,4437,0.7,5729,0.9,0.2
14,A. Offences Affecting the Human Body,Unnatural Offences,1148,0.1,1347,0.1,2187,0.2,0.1
Total (A),Total (A),Total (A),938110,75.4,980858,77.9,897171,70.4,30.1
15,B. Offences against the State,Offences Against State,176,0,147,0,178,0,0
Total (B),Total (B),Total (B),176,0,147,0,178,0,0
16,C. Offences against Public Tranquility,Unlawful Assembly,9870,0.8,10876,0.9,10377,0.8,0.3
17,C. Offences against Public Tranquility,Rioting,66042,5.3,65255,5.2,61974,4.9,2.1
18,C. Offences against Public Tranquility,Offences of Promoting Enmity Between Different Groups,336,0,424,0,478,0,0
Total (C),Total (C),Total (C),76248,6.1,76555,6.1,72829,5.7,2.4
19,D. Offences against Property,Theft,440915,35.4,467833,37.2,494404,38.8,16.6
20,D. Offences against Property,Criminal Trespass & Burglary,114646,9.2,114123,9.1,111746,8.8,3.8
21,D. Offences against Property,Extortion,8192,0.7,10636,0.8,11615,0.9,0.4
22,D. Offences against Property,Robbery,38071,3.1,36188,2.9,31906,2.5,1.1
23,D. Offences against Property,Dacoity,4395,0.4,3972,0.3,3795,0.3,0.1
24,D. Offences against Property,Making Preparation and Assembly for Committing Dacoity,2834,0.2,3163,0.3,3051,0.2,0.1
25,D. Offences against Property,Criminal Breach of Trust,19982,1.6,19218,1.5,18708,1.5,0.6
26,D. Offences against Property,Cheating,109354,8.8,115405,9.2,109611,8.6,3.7
27,D. Offences against Property,Arson,9289,0.7,9710,0.8,11196,0.9,0.4
Total (D),Total (D),Total (D),747678,60.1,780248,62,796032,62.5,26.8
28,E. Offences Relating to Documents & Property Marks,Counterfeiting,1979,0.2,1701,0.1,1476,0.1,0
29,E. Offences Relating to Documents & Property Marks,Forgery,11245,0.9,13846,1.1,13729,1.1,0.5
Total (E),Total (E),Total (E),13224,1.1,15547,1.2,15205,1.2,0.5
30,Cruelty by Husband or his Relatives $,Cruelty by Husband or his Relatives $,122877,20.4,113403,18.7,110378,18,3.7
31,Insult to the Modesty of Women $,Insult to the Modesty of Women $,9735,1.6,8685,1.4,7305,1.2,0.2
32,Other IPC Crimes *,Other IPC Crimes *,943515,75.8,973957,77.4,1076613,84.5,36.2
Total Cognizable IPC Crimes,Total Cognizable IPC Crimes,Total Cognizable IPC Crimes,2851563,229.2,2949400,234.2,2975711,233.6,100
