S. No. (Col.1),Category (Col.2),State/UT (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the Year (Col.5),Total Cases for Investigation (Col.6) = (Col.4+5),Cases Withdrawn by Govt. (Col.7),Transferred to other PS/ Magistrate (Col.8),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10 + Col.11+ Col.12+ Col.13),Cases in which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col.8+ Col.9+ Col.14+ Col.15),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 - (Col.7 + Col.16)),Chargesheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ (Col.6)) * 100
1,State,Andhra Pradesh,571,616,1187,0,1,0,44,9,12,0,65,144,210,977,68.6,82.3
2,State,Arunachal Pradesh,13,4,17,0,0,0,1,0,0,1,2,1,3,14,33.3,82.4
3,State,Assam,567,696,1263,0,1,0,140,0,0,0,140,114,255,1008,44.7,79.8
4,State,Bihar,260,309,569,0,0,0,50,8,0,0,58,105,163,406,64.4,71.4
5,State,Chhattisgarh,48,90,138,0,0,0,22,0,4,0,26,77,103,35,74.8,25.4
6,State,Goa,50,31,81,0,0,0,15,0,4,1,20,9,29,52,31,64.2
7,State,Gujarat,89,362,451,1,1,0,161,0,1,0,162,146,309,141,47.2,31.3
8,State,Haryana,144,401,545,0,0,0,66,34,0,0,100,98,198,347,49.5,63.7
9,State,Himachal Pradesh,23,31,54,0,0,0,10,4,11,0,25,8,33,21,24.2,38.9
10,State,Jammu & Kashmir,113,28,141,0,0,0,13,8,0,0,21,11,32,109,34.4,77.3
11,State,Jharkhand,200,259,459,0,0,0,29,0,0,5,34,103,137,322,75.2,70.2
12,State,Karnataka,1421,1101,2522,0,29,0,751,66,22,0,839,199,1067,1455,18.7,57.7
13,State,Kerala,441,283,724,0,2,0,61,30,7,3,101,160,263,461,60.8,63.7
14,State,Madhya Pradesh,311,258,569,0,2,0,7,1,10,188,206,144,352,217,40.9,38.1
15,State,Maharashtra,2694,2380,5074,0,8,0,800,4,41,7,852,502,1362,3712,36.9,73.2
16,State,Manipur,30,11,41,0,0,0,0,0,0,0,0,6,6,35,100,85.4
17,State,Meghalaya,50,39,89,0,0,0,46,0,0,0,46,6,52,37,11.5,41.6
18,State,Mizoram,6,1,7,0,0,0,0,0,0,0,0,2,2,5,100,71.4
19,State,Nagaland,0,2,2,0,0,0,1,0,0,0,1,0,1,1,0,50
20,State,Odisha,404,317,721,0,0,0,29,0,2,0,31,135,166,555,81.3,77
21,State,Punjab,280,102,382,0,0,0,8,22,10,0,40,67,107,275,62.6,72
22,State,Rajasthan,308,941,1249,0,2,0,609,67,164,14,854,117,973,276,12,22.1
23,State,Sikkim,1,1,2,0,0,0,0,0,0,0,0,0,0,2,NA,100
24,State,Tamil Nadu,236,144,380,0,0,0,36,0,11,0,47,53,100,280,53,73.7
25,State,Telangana,1093,593,1686,0,2,0,155,8,197,7,367,182,551,1135,33,67.3
26,State,Tripura,16,8,24,0,0,0,5,0,1,1,7,4,11,13,36.4,54.2
27,State,Uttar Pradesh,1618,2639,4257,0,0,0,1153,14,0,0,1167,1094,2261,1996,48.4,46.9
28,State,Uttarakhand,30,62,92,0,0,0,38,0,0,0,38,25,63,29,39.7,31.5
29,State,West Bengal,354,478,832,0,0,0,110,0,7,13,130,133,263,569,50.6,68.4
Total (States),State,Total (States),11371,12187,23558,1,48,0,4360,275,504,240,5379,3645,9072,14485,40.2,61.5
30,UT,A & N Islands,15,3,18,0,0,0,4,0,0,0,4,1,5,13,20,72.2
31,UT,Chandigarh,93,26,119,0,0,0,21,0,6,0,27,23,50,69,46,58
32,UT,D&N Haveli,2,1,3,0,0,0,0,0,0,0,0,3,3,0,100,0
33,UT,Daman & Diu,1,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,100
34,UT,Delhi,383,98,481,0,0,0,39,1,3,0,43,35,78,403,44.9,83.8
35,UT,Lakshadweep,1,0,1,0,0,0,0,0,0,0,0,1,1,0,100,0
36,UT,Puducherry,4,2,6,0,0,0,0,0,0,0,0,4,4,2,100,33.3
Total (UTs),UT,Total (UTs),499,130,629,0,0,0,64,1,9,0,74,67,141,488,47.5,77.6
Total (All India),Total (All India),Total (All India),11870,12317,24187,1,48,0,4424,276,513,240,5453,3712,9213,14973,40.3,61.9
