S. No.,Category,Crime Head,Below 18 Years - Male,Below 18 Years - Female,Below 18 Years - Total,18 Years & Above – Below 30 Years - Male,18 Years & Above – Below 30 Years - Female,18 Years & Above – Below 30 Years - Total,30 Years & Above – Below 45 Years - Male,30 Years & Above – Below 45 Years - Female,30 Years & Above – Below 45 Years - Total,45 Years & Above – Below 60 Years - Male,45 Years & Above – Below 60 Years - Female,45 Years & Above – Below 60 Years - Total,60 Years & Above - Male,60 Years & Above - Female,60 Years & Above - Total,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Total of Overall Age-Group - Total
1,A. Offences Affecting the Human Body,Murder,1138,39,1177,24083,1340,25423,21551,1849,23400,8011,675,8686,634,82,716,55417,3985,59402
2,A. Offences Affecting the Human Body,Culpable Homicide not Amounting to Murder,69,0,69,2412,52,2464,2627,108,2735,713,19,732,83,1,84,5904,180,6084
3,A. Offences Affecting the Human Body,Causing Death by Negligence,299,1,300,55396,159,55555,48624,170,48794,16710,25,16735,1214,3,1217,122243,358,122601
4,A. Offences Affecting the Human Body,Dowry Deaths,19,7,26,7215,1206,8421,6213,1482,7695,2863,1094,3957,329,117,446,16639,3906,20545
5,A. Offences Affecting the Human Body,Attempt to Commit Murder,1257,21,1278,40217,1436,41653,35745,1914,37659,13546,771,14317,1060,68,1128,91825,4210,96035
6,A. Offences Affecting the Human Body,Attempt to Commit Culpable Homicide,79,1,80,6145,97,6242,5368,200,5568,1557,57,1614,93,4,97,13242,359,13601
7,A. Offences Affecting the Human Body,Grievous Hurt,1359,59,1418,63841,2700,66541,54179,3224,57403,20842,1220,22062,1479,137,1616,141700,7340,149040
8,A. Offences Affecting the Human Body,Causing Injuries under Rash Driving,1203,20,1223,150851,1640,152491,128680,1009,129689,48238,125,48363,4246,8,4254,333218,2802,336020
9,A. Offences Affecting the Human Body,Assault on Women with Intent to Outrage her Modesty,1613,14,1627,58655,1486,60141,35738,1970,37708,9403,660,10063,743,93,836,106152,4223,110375
10,A. Offences Affecting the Human Body,Kidnapping & Abduction,1354,10,1364,45754,838,46592,24597,858,25455,5259,236,5495,257,14,271,77221,1956,79177
