S. No. (Col.1),Category (Col.2),State/UT (Col.3),Number of Death or Disappearance Reported (Col.4),Total Deaths Reported (Persons in Remand + Persons not in Remand) (Col.5),Number of Judicial Enquiry Ordered (Col.6),Number of Cases Regd. against Police Personnel in Connection with Deaths (Col.7),Number of Policemen Chargesheeted (Col.8),Number of Policemen Convicted (Col.9)
1,State,Andhra Pradesh,6,6,6,0,0,0
2,State,Arunachal Pradesh,0,0,0,0,0,0
3,State,Assam,2,2,2,0,0,0
4,State,Bihar,1,2,0,0,0,0
5,State,Chhattisgarh,1,4,0,0,0,0
6,State,Goa,0,1,0,0,0,0
7,State,Gujarat,2,11,2,0,0,0
8,State,Haryana,2,3,2,1,4,0
9,State,Himachal Pradesh,1,1,0,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0
11,State,Jharkhand,1,2,1,0,0,0
12,State,Karnataka,0,1,0,0,0,0
13,State,Kerala,0,2,0,0,0,0
14,State,Madhya Pradesh,6,11,6,1,10,0
15,State,Maharashtra,4,16,4,0,0,0
16,State,Manipur,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0
18,State,Mizoram,1,3,0,0,0,0
19,State,Nagaland,1,2,1,1,0,0
20,State,Odisha,0,0,0,0,0,0
21,State,Punjab,0,4,0,0,0,0
22,State,Rajasthan,1,3,1,1,0,0
23,State,Sikkim,0,0,0,0,0,0
24,State,Tamil Nadu,2,5,2,2,0,0
25,State,Telangana,0,0,0,0,0,0
26,State,Tripura,0,0,0,0,0,0
27,State,Uttar Pradesh,0,9,0,0,0,0
28,State,Uttarakhand,0,0,0,0,0,0
29,State,West Bengal,1,3,1,0,0,0
Total (States),State,Total (States),32,91,28,6,14,0
30,UT,A & N Islands,0,0,0,0,0,0
31,UT,Chandigarh,0,0,0,0,0,0
32,UT,D&N Haveli,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0
34,UT,Delhi,0,1,0,0,0,0
35,UT,Lakshadweep,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),0,1,0,0,0,0
Total (All India),Total (All India),Total (All India),32,92,28,6,14,0
