S. No. (Col.1),City (Col.2),Year - 2014 (Col.3),Year - 2015 (Col.4),Year - 2016 (Col.5),Percentage City Share To Total (2016) (Col.6),Rank Based on Incidence/ Percentage share (2016) (Col.7),Mid-Year Projected Population (in Lakhs) (2016)+ (Col.8),Rate of Kidnapping & Abduction (2016) (Col.9),Rank Based on Crime Rate (2016) (Col.10)
1,Ahmedabad (Gujarat),367,332,376,2.5,11,63.5,5.9,12
2,Bengaluru (Karnataka),708,777,974,6.5,3,85,11.5,10
3,Chennai (Tamil Nadu),36,37,34,0.2,16,87,0.4,17
4,Coimbatore (Tamil Nadu),14,10,8,0.1,18,21.5,0.4,18
5,Delhi,6016,6630,5925,39.4,1,163.1,36.3,2
6,Ghaziabad (Uttar Pradesh),276,315,368,2.4,12,23.6,15.6,8
7,Hyderabad (Telangana),374,332,359,2.4,13,77.5,4.6,14
8,Indore (Madhya Pradesh),439,453,383,2.5,10,21.7,17.6,6
9,Jaipur (Rajasthan),653,630,569,3.8,7,30.7,18.5,5
10,Kanpur (Uttar Pradesh),233,259,409,2.7,9,29.2,14,9
11,Kochi (Kerala),4,13,14,0.1,17,21.2,0.7,16
12,Kolkata (West Bengal),343,312,290,1.9,14,141.1,2.1,15
13,Kozhikode (Kerala),2,10,7,0,19,20.3,0.3,19
14,Lucknow (Uttar Pradesh),348,285,924,6.1,4,29,31.9,3
15,Mumbai (Maharashtra),541,1583,1949,13,2,184.1,10.6,11
16,Nagpur (Maharashtra),145,355,509,3.4,8,25,20.4,4
17,Patna (Bihar),599,869,822,5.5,6,20.5,40.1,1
18,Pune (Maharashtra),228,707,851,5.7,5,50.5,16.9,7
19,Surat (Gujarat),263,247,270,1.8,15,45.8,5.9,13
Total Cities,Total Cities,11589,14156,15041,100,NA,1140.3,13.2,NA
