S. No.,Category,State/UT,Cases Reported,Percentage share of State (2016),Rank Based on Cases Reported,Mid-Year Projected Population (In Lakhs)+,Rate of Cognizable Crimes (IPC)++,Rate of Cognizable Crimes (IPC)++
1,State,Andhra Pradesh,239,2.94,7,517.4,0.5,9
2,State,Arunachal Pradesh,2,0.02,26,13.2,0.2,21
3,State,Assam,91,1.12,10,325.8,0.3,13
4,State,Bihar,43,0.53,17,1043,0,29
5,State,Chhattisgarh,68,0.84,13,259.9,0.3,14
6,State,Goa,40,0.49,18,19.9,2,3
7,State,Gujarat,548,4.9,3,630.8,0.9,5
8,State,Haryana,51,0.63,15,276.1,0.2,18
9,State,Himachal Pradesh,8,0.1,22,71.2,0.1,23
10,State,Jammu & Kashmir,0,0,NA,124.6,0,NA
11,State,Jharkhand,109,1.34,9,338,0.3,11
12,State,Karnataka,404,4.97,6,625.7,0.6,6
13,State,Kerala,21,0.26,19,357.5,0.1,26
14,State,Madhya Pradesh,51,0.63,16,782.6,0.1,25
15,State,Maharashtra,517,6.36,4,1205.5,0.4,10
16,State,Manipur,3,0.04,25,26,0.1,22
17,State,Meghalaya,7,0.09,23,27.8,0.3,15
18,State,Mizoram,2,0.02,27,10.7,0.2,17
19,State,Nagaland,0,0,NA,23.9,0,NA
20,State,Odisha,84,1.03,11,425.9,0.2,16
21,State,Punjab,13,0.16,20,292,0,28
22,State,Rajasthan,1422,17.49,2,732.8,1.9,4
23,State,Sikkim,1,0.01,28,6.5,0.2,20
24,State,Tamil Nadu,434,5.34,5,695.2,0.6,7
25,State,Telangana,229,2.82,8,368.5,0.6,8
26,State,Tripura,0,0,NA,38.4,0,NA
27,State,Uttar Pradesh,79,0.97,12,2192.4,0,30
28,State,Uttarakhand,12,0.15,21,106.8,0.1,24
29,State,West Bengal,3579,44.01,1,938.3,3.8,1
Total (States),State,Total (States),8057,99.1,NA,12476.4,0.6,NA
30,UT,A & N Islands,1,0,29,5.5,0.2,19
31,UT,Chandigarh,1,0,30,18,0.1,27
32,UT,D&N Haveli,0,0,NA,4.3,0,NA
33,UT,Daman & Diu,7,0.1,24,3.3,2.1,2
34,UT,Delhi,66,0.8,14,214.9,0.3,12
35,UT,Lakshadweep,0,0,NA,0.8,0,NA
36,UT,Puducherry,0,0,NA,16.8,0,NA
Total (UTs),UT,Total (UTs),75,0.9,NA,263.6,0.3,NA
Total (All India),Total (All India),Total (All India),8132,100,NA,12740,0.6,NA
