Category,Particulars,Number of Incidents,Seized/Recovered (Quantity in Kg./Litre/Number),Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Cases Registered in Local Police Station/NCRB/Agencies.
1. Seizures of Fire Arms,1. Revolver (0.38 inch),9,01 (Improvised 38” bore six chamber revolver made in USA),14,NA,14,NA
1. Seizures of Fire Arms,2. Pistol (9mm),NA,5,NA,NA,NA,NA
1. Seizures of Fire Arms,2. Pistol (7.62 mm),NA,2,NA,NA,NA,NA
1. Seizures of Fire Arms,2. Pistol (Others),NA,3,NA,NA,NA,NA
1. Seizures of Fire Arms,3. Rifle (AK 47),NA,18,NA,NA,NA,NA
1. Seizures of Fire Arms,4. Others - a. BGL,NA,1,NA,NA,NA,NA
1. Seizures of Fire Arms,4. Others - b. UBGL,NA,4,NA,NA,NA,NA
1. Seizures of Fire Arms,4. Others - c. Magazines - Pistol (9 mm),NA,7,NA,NA,NA,NA
1. Seizures of Fire Arms,4. Others - c. Magazines - Pistol (Other),NA,4,NA,NA,NA,NA
1. Seizures of Fire Arms,4. Others - c. Magazines - Rifle (AK-47),NA,81,NA,NA,NA,NA
2. Seizures of Ammunitions,1. UBGL Shells,8,21,14,NA,14,NA
2. Seizures of Ammunitions,2. Hand Grenades,NA,12,NA,NA,NA,NA
2. Seizures of Ammunitions,3. 0.38” Ammunitions,NA,3,NA,NA,NA,NA
2. Seizures of Ammunitions,4. 9mm Cartridge,NA,5,NA,NA,NA,NA
2. Seizures of Ammunitions,5. Pistol (Rounds),NA,179,NA,NA,NA,NA
2. Seizures of Ammunitions,6. AK-47 Rifle (Rounds),NA,974,NA,NA,NA,NA
2. Seizures of Ammunitions,7. 7.62 mm x 25 (Rounds),NA,27,NA,NA,NA,NA
2. Seizures of Ammunitions,8. 0.30” caliber size (Rounds),NA,3,NA,NA,NA,NA
2. Seizures of Ammunitions,9. Others (Rounds) - a. Live rounds,NA,314,NA,NA,NA,NA
2. Seizures of Ammunitions,9. Others (Rounds) - b. Rounds,NA,485,NA,NA,NA,NA
3. Explosives,1. IED Bomb,3,01 (1.5 Kg Grey colour powder with foul odour,18,0,18,NA
3. Explosives,2. Match Stick Explosive,NA,65 gram match stick explosive which was removed from match stick was seized,NA,NA,NA,NA
3. Explosives,3. Urea (with Hydrogen Peroxide and Acetone,NA,2.6 Kgs,NA,NA,NA,NA
4. Currency,1. a) Indian Currency Notes/Coin,2,Rs. 468000,3,NA,3,NA
4. Currency,1. b) FICN,4,Rs. 5123000,11,1,12,NA
5. Electronic Items,1. Electronic Item (In Number),4,NA,1,NA,1,NA
5. Electronic Items,1. a. Electronic Item (In Number) - Wireless Set,NA,12,NA,NA,NA,NA
5. Electronic Items,1. b. Electronic Item (In Number) - GPS,NA,7,NA,NA,NA,NA
5. Electronic Items,1. c. Electronic Item (In Number) - Mobile Set,NA,2,NA,NA,NA,NA
