S. No.,Category,State/UT,Year - 2014,Year - 2015,Year - 2016*,Percentage State share to All-India (2016)
1,State,Andhra Pradesh,174,185,164,3.7
2,State,Arunachal Pradesh,11,15,14,0.3
3,State,Assam,0,14,23,0.5
4,State,Bihar,128,112,164,3.7
5,State,Chhattisgarh,55,50,61,1.4
6,State,Goa,22,11,11,0.2
7,State,Gujarat,275,305,258,5.8
8,State,Haryana,139,206,139,3.1
9,State,Himachal Pradesh,68,39,28,0.6
10,State,Jammu & Kashmir,79,98,55,1.2
11,State,Jharkhand,37,76,119,2.7
12,State,Karnataka,401,259,25,0.6
13,State,Kerala,149,377,430,9.7
14,State,Madhya Pradesh,562,634,402,9.1
15,State,Maharashtra,1316,1279,1016,22.9
16,State,Manipur,3,2,0,0
17,State,Meghalaya,1,7,0,0
18,State,Mizoram,9,6,5,0.1
19,State,Nagaland,11,2,10,0.2
20,State,Odisha,400,456,569,12.8
21,State,Punjab,145,146,171,3.9
22,State,Rajasthan,503,401,387,8.7
23,State,Sikkim,6,8,14,0.3
24,State,Tamil Nadu,212,204,170,3.8
25,State,Telangana,139,193,89,2
26,State,Tripura,3,8,2,0
27,State,Uttar Pradesh,28,60,30,0.7
28,State,Uttarakhand,12,20,28,0.6
29,State,West Bengal,0,18,16,0.4
Total (States),State,Total (States),4888,5191,4400,99.1
30,UT,A & N Islands,8,13,3,0.1
31,UT,Chandigarh,4,13,15,0.3
32,UT,D&N Haveli,0,0,0,0
33,UT,Daman & Diu,0,0,0,0
34,UT,Delhi UT,64,31,16,0.4
35,UT,Lakshadweep,0,0,0,0
36,UT,Puducherry,2,2,5,0.1
Total (UTs),UT,Total (UTs),78,59,39,0.9
Total (All India),Total (All India),Total (All India),4966,5250,4439,100
