S. No.,Category,State/UT,2014 - Value of Property - Stolen,2014 - Value of Property - Recovered,2014 - Percentage Recovery of Stolen Property,2015 - Value of Property - Stolen,2015 - Value of Property - Recovered,2015 - Percentage Recovery of Stolen Property,2016 - Value of Property - Stolen,2016 - Value of Property - Recovered,2016 - Percentage Recovery of Stolen Property
1,State,Andhra Pradesh,114,49.7,43.6,121.1,55.2,45.6,113.2,46.5,41.1
2,State,Arunachal Pradesh,12.6,2.3,18,16.3,6.8,41.5,12.9,2.2,17.2
3,State,Assam,48.1,11.5,23.8,81.7,11.1,13.6,94.2,19.5,20.7
4,State,Bihar,136.8,17.7,13,120.3,17,14.2,100.2,19.8,19.8
5,State,Chhattisgarh,140,18.1,12.9,46.3,18.6,40.2,43.1,14.5,33.7
6,State,Goa,46.4,8.1,17.5,7.6,1.5,19.8,9.3,2.1,22.7
7,State,Gujarat,504.4,119.8,23.7,271.9,54.4,20,207.6,63,30.3
8,State,Haryana,188,69.4,36.9,169.2,61.8,36.5,261.5,76.8,29.4
9,State,Himachal Pradesh,33.1,12.6,38.1,15,5.7,38.1,19.6,8.6,44
10,State,Jammu & Kashmir,21,9.9,47,25.6,9.7,37.7,25,11.3,45.1
11,State,Jharkhand,46.4,6.9,14.8,33.8,7.9,23.3,27.9,5.9,21.2
12,State,Karnataka,285.6,95.4,33.4,267.7,104,38.9,276.6,105.3,38.1
13,State,Kerala,141.9,21.4,15.1,96.3,25.5,26.5,83.1,18.2,22
14,State,Madhya Pradesh,188.6,66.1,35,287.5,73.5,25.6,236.7,72.6,30.7
15,State,Maharashtra,2944.1,309.5,10.5,4533.9,232,5.1,3371.3,266.9,7.9
16,State,Manipur,7.9,0.5,6.9,10.8,1.5,14.3,8.6,3,35
17,State,Meghalaya,15.6,1.3,8.3,56.5,3,5.3,15,1.7,11.4
18,State,Mizoram,10.1,3.9,38.5,11.8,3.9,32.9,8.9,3.5,39.3
19,State,Nagaland,10,0.8,8.3,13,2.5,18.8,8.1,1.9,23.2
20,State,Odisha,202.4,33.9,16.7,111.4,35,31.4,111.3,28.4,25.5
21,State,Punjab,102.9,45.8,44.5,105.7,59.4,56.2,106,38.8,36.6
22,State,Rajasthan,250.9,135,53.8,259.4,136.3,52.5,240.1,131.4,54.7
23,State,Sikkim,1.7,0.6,37.9,2.5,0.9,35.1,1.9,0.8,40.1
24,State,Tamil Nadu,150.8,99.5,66,131.2,85.8,65.4,136.9,91.5,66.9
25,State,Telangana,155.4,91.9,59.1,98.3,56.8,57.8,113.6,60.9,53.7
26,State,Tripura,5.5,1.5,26.9,65,1,1.5,2.4,0.7,29.8
27,State,Uttar Pradesh,315.2,103.3,32.8,296.4,104.5,35.3,630.1,167.7,26.6
28,State,Uttarakhand,15,7,46.5,11.3,5.4,47.8,13.3,7.2,54
29,State,West Bengal,736.9,190.4,25.8,199.9,31.9,16,158.4,24.7,15.6
Total (States),State,Total (States),6831.3,1533.7,22.5,7467.5,1212.5,16.2,6436.6,1295.5,20.1
30,UT,A & N Islands,5.4,0.4,6.6,2.2,1.7,77,0.8,0.3,37.3
31,UT,Chandigarh,9.8,4.2,42.3,9.1,4.6,51.2,8,2.8,34.8
32,UT,D&N Haveli,5.1,0.5,10.1,5.1,2.6,51.3,4.2,1.4,33.1
33,UT,Daman & Diu,1,0.3,29,2.3,0.5,20.9,1.1,0.6,54.7
34,UT,Delhi,658.6,34.3,5.2,719.9,126,17.5,3278.8,157,4.8
35,UT,Lakshadweep,0.1,0,13.4,0,0,0,0,0,0
36,UT,Puducherry,3.6,2.2,62.1,4.3,2.2,51.3,3.6,1.4,40.1
Total (UTs),UT,Total (UTs),683.5,41.9,6.1,742.9,137.7,18.5,3296.4,163.5,5
Total (All-India),Total (All-India),Total (All-India),7514.8,1575.5,21,8210.4,1350.2,16.4,9733.1,1459,15
