S. No.,Category,State/UT,Year - 2014,Year - 2015,Year - 2016,Percentage State Share To All–India (2016),Mid-Year Projected Population (in Lakhs) (2016)+,Rate of Total Cognizable Crimes (2016)++
1,State,Andhra Pradesh,117,181,46,1,517.4,0.1
2,State,Arunachal Pradesh,6,3,1,0,13.2,0.1
3,State,Assam,83,105,149,3.1,325.8,0.5
4,State,Bihar,30,4,41,0.9,1043,0
5,State,Chhattisgarh,12,12,15,0.3,259.9,0.1
6,State,Goa,9,6,1,0,19.9,0.1
7,State,Gujarat,40,31,16,0.3,630.8,0
8,State,Haryana,21,20,44,0.9,276.1,0.2
9,State,Himachal Pradesh,150,113,178,3.8,71.2,2.5
10,State,Jammu & Kashmir,8,9,4,0.1,124.6,0
11,State,Jharkhand,148,233,139,2.9,338,0.4
12,State,Karnataka,249,211,178,3.8,625.7,0.3
13,State,Kerala,28,15,28,0.6,357.5,0.1
14,State,Madhya Pradesh,25,20,32,0.7,782.6,0
15,State,Maharashtra,136,127,170,3.6,1205.5,0.1
16,State,Manipur,0,4,2,0,26,0.1
17,State,Meghalaya,0,0,0,0,27.8,0
18,State,Mizoram,0,1,1,0,10.7,0.1
19,State,Nagaland,0,0,3,0.1,23.9,0.1
20,State,Odisha,1,0,1,0,425.9,0
21,State,Punjab,6,5,4,0.1,292,0
22,State,Rajasthan,2927,2074,1381,29.2,732.8,1.9
23,State,Sikkim,0,0,0,0,6.5,0
24,State,Tamil Nadu,33,17,1,0,695.2,0
25,State,Telangana,10,16,22,0.5,368.5,0.1
26,State,Tripura,0,0,0,0,38.4,0
27,State,Uttar Pradesh,1597,1779,2130,45,2192.4,1
28,State,Uttarakhand,40,55,49,1,106.8,0.5
29,State,West Bengal,104,63,74,1.6,938.3,0.1
Total (States),State,Total (States),5780,5104,4710,99.5,12476.2,0.4
30,UT,A & N Islands,0,0,0,0,5.5,0
31,UT,Chandigarh,1,2,3,0.1,18,0.2
32,UT,D&N Haveli,0,0,0,0,4.3,0
33,UT,Daman & Diu,0,0,0,0,3.3,0
34,UT,Delhi,53,49,18,0.4,214.9,0.1
35,UT,Lakshadweep,0,1,0,0,0.8,0
36,UT,Puducherry,1,0,1,0,16.8,0.1
Total (UTs),UT,Total (UTs),55,52,22,0.5,263.7,0.1
Total (All-India),Total (All-India),Total (All-India),5835,5156,4732,100,12739.9,0.4
