S. No. (Col.1),City (Col.2),Cases Pending Trial from the Previous Year (Col.3),Cases Sent for Trial during the Year (Col.4),Total Cases for Trial during the Year (Col.5) = (Col.3+4),Number of Cases Withdrawn by the Govt. (Col.6),Number of Cases Disposed by Plea Bargaining (Col.7),Cases Compounded (Col.8),Cases in which Trials were Completed (Col.9) = (Col. 10+11),Cases Convicted (Col.10),Cases Acquitted or Discharged (Col.11),Cases Disposed off by Courts (Col.12) = (Col.6+Col.7 +Col.8+Col.9),Cases Pending Trial at the End of the Year (Col.13) = (Col.5 NA Col.12),Conviction Rate (Col.14) = (Col.10/ Col.9) * 100,Pendency Percentage (Col.15) = (Col.13/ Col.5) * 100
1,Ahmedabad (Gujarat),23,7,30,0,0,0,1,1,0,1,29,100,96.7
2,Bengaluru (Karnataka),10,5,15,0,0,0,0,0,0,0,15,NA,100
3,Chennai (Tamil Nadu),0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,Coimbatore (Tamil Nadu),0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,Delhi,6,0,6,0,0,0,1,0,1,1,5,0,83.3
6,Ghaziabad (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,Hyderabad (Telangana),9,4,13,0,0,0,1,0,1,1,12,0,92.3
8,Indore (Madhya Pradesh),122,5,127,0,0,3,25,8,17,28,99,32,78
9,Jaipur (Rajasthan),178,30,208,0,0,0,0,0,0,0,208,NA,100
10,Kanpur (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,NA,NA
11,Kochi (Kerala),1,0,1,0,0,0,0,0,0,0,1,NA,100
12,Kolkata (West Bengal),0,2,2,0,0,0,0,0,0,0,2,NA,100
13,Kozhikode (Kerala),3,0,3,0,0,0,0,0,0,0,3,NA,100
14,Lucknow (Uttar Pradesh),9,0,9,0,0,0,0,0,0,0,9,NA,100
15,Mumbai (Maharashtra),8,1,9,0,0,0,2,0,2,2,7,0,77.8
16,Nagpur (Maharashtra),16,4,20,0,0,0,3,1,2,3,17,33.3,85
17,Patna (Bihar),4,0,4,0,0,0,0,0,0,0,4,NA,100
18,Pune (Maharashtra),2,1,3,0,0,0,0,0,0,0,3,NA,100
19,Surat (Gujarat),25,10,35,0,0,0,0,0,0,0,35,NA,100
Total Cities,Total Cities,416,69,485,0,0,3,33,10,23,36,449,30.3,92.6
