S. No. (Col.1),State/UT (Col.2),Year - 2015 * (Col.3),Year - 2016 * (Col.4),Percentage Share of State/UT (2016) (Col.5),Rank Based on Incidence/ % share (2016) (Col.6),Mid-Year Projected Population (In Lakhs) (2016) + (Col.7),Rate of Cognizable Crimes (IPC) (2016)++ (Col.8),Rank Based on Crime Rate (2016) (Col.9)
1,Andhra Pradesh,51076,69689,6.5,6,517.4,134.7,2
2,Arunachal Pradesh,0,1,0,28,13.2,0.1,28
3,Assam,3739,6241,0.6,19,325.8,19.2,21
4,Bihar,38776,43772,4.1,9,1043,42,20
5,Chhattisgarh,25203,23576,2.2,14,259.9,90.7,7
6,Goa,258,249,0,24,19.9,12.5,23
7,Gujarat,70877,77230,7.2,5,630.8,122.4,4
8,Haryana,16694,14686,1.4,18,276.1,53.2,17
9,Himachal Pradesh,204,236,0,25,71.2,3.3,25
10,Jammu & Kashmir,923,1023,0.1,22,124.6,8.2,24
11,Jharkhand,16834,18411,1.7,16,338,54.5,16
12,Karnataka,35462,37839,3.5,10,625.7,60.5,13
13,Kerala,28459,29195,2.7,12,357.5,81.7,8
14,Madhya Pradesh,88226,98964,9.3,3,782.6,126.5,3
15,Maharashtra,196602,223360,20.9,1,1205.5,185.3,1
16,Nagaland,28,35,0,26,23.9,1.5,26
17,Odisha,29646,32473,3,11,425.9,76.2,12
18,Punjab,28520,22661,2.1,15,292,77.6,11
19,Rajasthan,45782,59721,5.6,7,732.8,81.5,9
20,Tamil Nadu,79853,81639,7.6,4,695.2,117.4,5
21,Telangana,9869,15516,1.5,17,368.5,42.1,19
22,Tripura,4,12,0,27,38.4,0.3,27
23,Uttar Pradesh,106577,124720,11.7,2,2192.4,56.9,15
24,Uttarakhand,4536,5142,0.5,20,106.8,48.1,18
25,West Bengal,47509,56447,5.3,8,938.3,60.2,14
26,Chandigarh,1214,1424,0.1,21,18,79.1,10
27,Delhi UT,15083,24293,2.3,13,214.9,113,6
28,Puducherry,304,304,0,23,16.8,18.1,22
Total All India,Total All India,942258,1068859,100,NA,12655.1,84.5,NA
