S. No.,States,Year - 2014,Year - 2015,Year - 2016,Percentage Share of State (2016),Rank Based on Incidence/ % share (2016),Mid-Year Projected Population (In Lakhs) (2016) +,Rate of Cognizable Crimes (IPC) (2016)++,Rank Based on Crime Rate (2016)
1,Andhra Pradesh,1786,1809,1893,4.3,10,517.4,3.5,9
2,Assam,363,511,537,1.2,19,325.8,1.5,19
3,Bihar,2483,2226,3522,5.4,7,1043,2.2,11
4,Chhattisgarh *,400,512,630,1.3,17,259.9,2.1,15
5,Gujarat,7535,6804,6561,3.6,4,630.8,2.4,3
6,Haryana,1328,1748,1843,3.7,11,276.1,5.7,5
7,Himachal Pradesh,12,10,12,0,21,71.2,0.1,22
8,Jammu & Kashmir,48,46,69,0.1,20,124.6,0.4,20
9,Jharkhand,565,708,583,1.4,18,338,1.7,18
10,Karnataka,961,1025,1479,3.4,12,625.7,2.3,14
11,Kerala,4621,6046,7678,0.7,3,357.5,0.9,1
12,Madhya Pradesh,3981,4649,5253,12,5,782.6,6.5,4
13,Maharashtra,5865,7556,7684,17.4,2,1205.5,6.1,6
14,Odisha,1024,1244,1144,2.7,15,425.9,2.6,13
15,Punjab,1211,1308,1138,1.2,16,292,1.7,8
16,Rajasthan,2022,1989,2135,3.2,8,732.8,1.8,12
17,Tamil Nadu,2728,1789,1218,2,14,695.2,1.2,17
18,Telangana,897,1124,1277,2.7,13,368.5,3.1,10
19,Tripura,9,10,9,0,22,38.4,0.2,21
20,Uttar Pradesh *,5158,7168,10918,19.6,1,2192.4,3.8,7
21,West Bengal,1812,1876,2001,4.1,9,938.3,1.9,16
22,Delhi UT,1879,3389,4368,10.2,6,214.9,20,2
Total All India,Total All India,46688,53547,61952,100,NA,12456.5,3.4,NA
