S. No.,City,Personal Vendetta Or Enmity,Property Dispute,Gain,Illicit Relationship,Love Affairs,Dowry,Water or Money Dispute,Road Rage,Extremism/ Naxalism,Casteism,Robbery/ Extortion,Rape,Class Conflict,Witch Craft,Political Reasons,Lunacy,Honour Killing,Communalism,Child/ Human Sacrifice,Other Causes*,Total Motives
1,Ahmedabad (Gujarat),28,4,4,4,7,0,5,0,0,0,3,0,0,0,0,1,0,0,0,47,103
2,Bengaluru (Karnataka),131,4,14,20,10,4,8,0,0,0,0,0,0,0,0,0,0,0,1,37,229
3,Chennai (Tamil Nadu),37,2,7,17,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,57,133
4,Coimbatore (Tamil Nadu),5,0,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,27
5,Delhi,42,33,8,15,14,4,4,1,0,0,6,3,1,0,0,0,2,0,1,345,479
6,Ghaziabad(Uttar Pradesh),12,6,1,6,4,2,16,3,0,3,0,0,0,0,0,0,0,0,0,6,59
7,Hyderabad (Telangana),7,2,7,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,64,86
8,Indore (Madhya Pradesh),8,6,0,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,34,58
9,Jaipur (Rajasthan),0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,97
10,Kanpur (Uttar Pradesh),12,9,16,0,7,0,0,19,0,6,0,0,0,0,0,0,0,0,0,0,69
11,Kochi (Kerala),5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
12,Kolkata (West Bengal),21,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,78
13,Kozhikode (Kerala),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
14,Lucknow (Uttar Pradesh),35,5,8,8,7,1,1,0,0,0,2,2,0,0,1,0,0,0,0,27,97
15,Mumbai (Maharashtra),19,6,18,5,5,2,4,0,1,0,2,4,0,0,0,1,1,0,0,79,147
16,Nagpur (Maharashtra),8,3,0,4,3,0,3,0,3,0,1,0,0,0,0,0,0,0,0,67,92
17,Patna (Bihar),21,58,65,30,10,1,0,0,0,0,0,2,6,0,2,0,0,0,0,0,195
18,Pune (Maharashtra),9,4,5,8,10,0,0,4,15,0,1,0,1,0,0,0,0,0,0,73,130
19,Surat (Gujarat),82,2,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,102
Total Cities,Total Cities,483,146,162,127,96,14,54,27,19,9,16,14,8,3,3,2,3,0,2,1006,2194
