S. No. (Col.1),Category (Col.2),State/UT (Col.3),Disposal during Trial Stage/Disposal by Court - Cases Pending Trial from the Previous Year (Col.4),Disposal during Trial Stage/Disposal by Court - Cases Sent Up for Trial during the Year (Col.5),Disposal during Trial Stage/Disposal by Court - Total Cases for Trial (Col.6),Disposal during Trial Stage/Disposal by Court - Cases Withdrawn/ Other Wise Disposed off (Col.7),Disposal during Trial Stage/Disposal by Court - Cases in which Trials were Completed (Col.8),Disposal during Trial Stage/Disposal by Court - Cases Convicted (Col.9),Disposal during Trial Stage/Disposal by Court - Cases Acquitted or Discharged (Col.10),Disposal during Trial Stage/Disposal by Court - Cases Pending Trial at the End of the Year (Col.11),Disposal during Trial Stage/Disposal by Court - Conviction Rate (Col.12) = (Col.9/Col.8) * 100,Disposal during Trial Stage/Disposal by Court - Pendency Rate (Col.13) = (Col.11/Col.6) * 100
1,State,Andhra Pradesh,647,148,795,0,59,37,22,736,62.7,92.6
2,State,Arunachal Pradesh,24,3,27,0,0,0,0,27,NA,100
3,State,Assam,39,2,41,0,3,3,0,38,100,92.7
4,State,Bihar,1362,118,1480,0,25,18,7,1455,72,98.3
5,State,Chhattisgarh,352,44,396,2,73,33,40,321,45.2,81.1
6,State,Goa,6,1,7,0,1,1,0,6,100,85.7
7,State,Gujarat,1463,129,1592,5,141,33,108,1446,23.4,90.8
8,State,Haryana,320,159,479,12,184,43,141,283,23.4,59.1
9,State,Himachal Pradesh,200,26,226,1,24,3,21,201,12.5,88.9
10,State,Jammu & Kashmir,470,30,500,0,21,7,14,479,33.3,95.8
11,State,Jharkhand,196,91,287,6,18,0,18,263,0,91.6
12,State,Karnataka,1632,201,1833,11,261,70,191,1561,26.8,85.2
13,State,Kerala,1102,65,1167,2,49,32,17,1048,65.3,89.8
14,State,Madhya Pradesh,340,415,755,0,173,137,36,582,79.2,77.1
15,State,Maharashtra,3896,987,4883,8,439,91,348,4436,20.7,90.8
16,State,Manipur,11,0,11,0,0,0,0,11,NA,100
17,State,Meghalaya,2,0,2,0,0,0,0,2,NA,100
18,State,Mizoram,35,9,44,0,3,0,3,41,0,93.2
19,State,Nagaland,2,5,7,0,0,0,0,7,NA,100
20,State,Odisha,3494,348,3842,18,177,83,94,3647,46.9,94.9
21,State,Punjab,298,82,380,3,107,34,73,270,31.8,71.1
22,State,Rajasthan,2925,284,3209,24,159,75,84,3026,47.2,94.3
23,State,Sikkim,4,1,5,0,1,1,0,4,100,80
24,State,Tamil Nadu,1770,129,1899,17,188,75,113,1694,39.9,89.2
25,State,Telangana,598,114,712,0,37,22,15,675,59.5,94.8
26,State,Tripura,1,1,2,1,0,0,0,1,NA,50
27,State,Uttar Pradesh,614,30,644,2,39,5,34,603,12.8,93.6
28,State,Uttarakhand,125,19,144,1,4,2,2,139,50,96.5
29,State,West Bengal,38,7,45,0,1,0,1,44,0,97.8
Total (States),State,Total (States),21966,3448,25414,113,2187,805,1382,23046,36.8,90.7
30,UT,A & N Islands,38,5,43,1,2,0,2,40,0,93
31,UT,Chandigarh,18,11,29,0,7,3,4,22,42.9,75.9
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,NA,NA
33,UT,Daman & Diu,25,2,27,0,0,0,0,27,NA,100
34,UT,Delhi UT,39,6,45,1,8,2,6,36,25,80
35,UT,Lakshadweep,1,0,1,0,0,0,0,1,NA,100
36,UT,Puducherry,20,3,23,2,6,4,2,15,66.7,65.2
Total (UTs),UT,Total (UTs),141,27,168,4,23,9,14,141,39.1,83.9
Total (All India),Total (All India),Total (All India),22107,3475,25582,117,2210,814,1396,23187,36.8,90.6
