S. No. (Col.1),Category (Col.2),State/UT (Col.3),Cases Pending Trial from the Previous Year (Col.4),Cases Sent for Trial during the Year (Col.5),Total Cases for Trial during the Year (Col.6) = (Col.4+5),Number of Cases Withdrawn by the Govt. (Col.7),Number of Cases Disposed by Plea Bargaining (Col.8),Cases Compounded (Col.9),Cases in which Trials were Completed (Col.10) = (Col. 11+12),Cases Convicted (Col.11),Cases Acquitted or Discharged (Col.12),Cases Disposed off by Courts (Col.13) = (Col.7 +Col.8+Col.9 + Col.10),Cases Pending Trial at the End of the Year (Col.14) = (Col.6 - Col.13),Conviction Rate (Col.15) = (Col.11/ Col.10) * 100,Pendency Percentage (Col.16) = (Col.14/ Col.6) * 100
1,State,Andhra Pradesh,10179,3911,14090,1,0,1068,2393,257,2136,3462,10628,10.7,75.4
2,State,Arunachal Pradesh,920,101,1021,0,0,13,19,3,16,32,989,15.8,96.9
3,State,Assam,6611,1668,8279,0,0,0,726,92,634,726,7553,12.7,91.2
4,State,Bihar,31575,8241,39816,0,0,0,1304,167,1137,1304,38512,12.8,96.7
5,State,Chhattisgarh,6413,1117,7530,0,0,0,1205,327,878,1205,6325,27.1,84
6,State,Goa,748,133,881,0,0,7,31,6,25,38,843,19.4,95.7
7,State,Gujarat,29713,2494,32207,7,0,15,589,22,567,611,31596,3.7,98.1
8,State,Haryana,8600,2258,10858,0,0,0,1438,296,1142,1438,9420,20.6,86.8
9,State,Himachal Pradesh,2060,169,2229,0,0,12,117,25,92,129,2100,21.4,94.2
10,State,Jammu & Kashmir,3377,343,3720,0,0,29,274,24,250,303,3417,8.8,91.9
11,State,Jharkhand,4181,2022,6203,0,0,87,1086,247,839,1173,5030,22.7,81.1
12,State,Karnataka,17377,2830,20207,0,0,201,1609,70,1539,1810,18397,4.4,91
13,State,Kerala,25217,4107,29324,1,34,200,1700,203,1497,1935,27389,11.9,93.4
14,State,Madhya Pradesh,15682,2100,17782,0,0,45,1734,450,1284,1779,16003,26,90
15,State,Maharashtra,84263,7468,91731,9,0,327,2354,261,2093,2690,89041,11.1,97.1
16,State,Manipur,322,42,364,0,0,0,21,9,12,21,343,42.9,94.2
17,State,Meghalaya,824,97,921,0,0,2,65,27,38,67,854,41.5,92.7
18,State,Mizoram,63,105,168,0,0,8,53,51,2,61,107,96.2,63.7
19,State,Nagaland,83,100,183,0,0,1,64,36,28,65,118,56.3,64.5
20,State,Odisha,12765,2463,15228,21,0,8,1206,145,1061,1235,13993,12,91.9
21,State,Punjab,13114,2649,15763,0,75,16,2640,573,2067,2731,13032,21.7,82.7
22,State,Rajasthan,27317,4683,32000,2,140,184,1828,692,1136,2154,29846,37.9,93.3
23,State,Sikkim,54,33,87,0,0,0,10,2,8,10,77,20,88.5
24,State,Tamil Nadu,10202,2055,12257,0,0,13,973,141,832,986,11271,14.5,92
25,State,Telangana,17522,5893,23415,0,2,1285,2179,236,1943,3466,19949,10.8,85.2
26,State,Tripura,485,88,573,0,0,25,68,10,58,93,480,14.7,83.8
27,State,Uttar Pradesh,41962,8498,50460,0,0,75,3129,1668,1461,3204,47256,53.3,93.7
28,State,Uttarakhand,2209,594,2803,1,0,0,267,100,167,268,2535,37.5,90.4
29,State,West Bengal,32462,6402,38864,0,0,0,809,43,766,809,38055,5.3,97.9
Total (States),State,Total (States),406300,72664,478964,42,251,3621,29891,6183,23708,33805,445159,20.7,92.9
30,UT,A & N Islands,227,18,245,0,0,0,16,2,14,16,229,12.5,93.5
31,UT,Chandigarh,859,136,995,0,0,12,151,42,109,163,832,27.8,83.6
32,UT,D&N Haveli,177,19,196,0,0,0,10,0,10,10,186,0,94.9
33,UT,Daman & Diu,38,32,70,0,0,1,12,0,12,13,57,0,81.4
34,UT,Delhi,13039,1872,14911,3,0,48,1254,488,766,1305,13606,38.9,91.2
35,UT,Lakshadweep,1,1,2,0,0,0,0,0,0,0,2,NA,100
36,UT,Puducherry,86,53,139,0,0,1,1,0,1,2,137,0,98.6
Total (UTs),UT,Total (UTs),14427,2131,16558,3,0,62,1444,532,912,1509,15049,36.8,90.9
Total (All India),Total (All India),Total (All India),420727,74795,495522,45,251,3683,31335,6715,24620,35314,460208,21.4,92.9
