S. No (Col.1),Purpose (Col.2),Sex-Wise / Age Group-Wise (Child Victims) - Below 6 Years - Male (Col.3),Sex-Wise / Age Group-Wise (Child Victims) - Below 6 Years - Female (Col.4),Sex-Wise / Age Group-Wise (Child Victims) - Below 6 Years - Total (Col.5),Sex-Wise / Age Group-Wise (Child Victims) - 6 Years to 12 Years - Male (Col.6),Sex-Wise / Age Group-Wise (Child Victims) - 6 Years to 12 Years - Female (Col.7),Sex-Wise / Age Group-Wise (Child Victims) - 6 Years to 12 Years - Total (Col.8),Sex-Wise / Age Group-Wise (Child Victims) - 12 Years to 16 Years - Male (Col.9),Sex-Wise / Age Group-Wise (Child Victims) - 12 Years to 16 Years - Female (Col.10),Sex-Wise / Age Group-Wise (Child Victims) - 12 Years to 16 Years - Total (Col.11),Sex-Wise / Age Group-Wise (Child Victims) - 16 Years to 18 Years - Male (Col.12),Sex-Wise / Age Group-Wise (Child Victims) - 16 Years to 18 Years - Female (Col.13),Sex-Wise / Age Group-Wise (Child Victims) - 16 Years to 18 Years - Total (Col.14),Total Child Victims - Male (Col.15),Total Child Victims - Female (Col.16),Total Child Victims - Total (Col.17),Sex-Wise / Age Group-Wise (Adult Victims) - 18 Years to 30 Years - Male (Col.18),Sex-Wise / Age Group-Wise (Adult Victims) - 18 Years to 30 Years - Female (Col.19),Sex-Wise / Age Group-Wise (Adult Victims) - 18 Years to 30 Years - Total (Col.20),Sex-Wise / Age Group-Wise (Adult Victims) - 30 Years to 60 Years - Male (Col.21),Sex-Wise / Age Group-Wise (Adult Victims) - 30 Years to 60 Years - Female (Col.22),Sex-Wise / Age Group-Wise (Adult Victims) - 30 Years to 60 Years - Total (Col.23),Sex-Wise / Age Group-Wise (Adult Victims) - 60 Years & Above - Male (Col.24),Sex-Wise / Age Group-Wise (Adult Victims) - 60 Years & Above - Female (Col.25),Sex-Wise / Age Group-Wise (Adult Victims) - 60 Years & Above - Total (Col.26),Total Adult Victims - Male (Col.27),Total Adult Victims - Female (Col.28),Total Adult Victims - Total (Col.29),Total Kidnapped/ Abducted * - Male (Col.30),Total Kidnapped/ Abducted * - Female (Col.31),Total Kidnapped/ Abducted * - Total (Col.32),Percentage Share of Victims to Total (Col.33)
1,For Marriage,0,139,139,0,666,666,0,6461,6461,1,9671,9672,1,16937,16938,57,14539,14596,1,2320,2321,0,0,0,58,16859,16917,59,33796,33855,37.7
2,For Illicit Intercourse,2,15,17,1,116,117,11,593,604,12,838,850,26,1562,1588,5,239,244,1,52,53,0,0,0,6,291,297,32,1853,1885,2.1
3,For Murder,16,1,17,48,18,66,71,8,79,59,7,66,194,34,228,630,70,700,188,8,196,1,2,3,819,80,899,1013,114,1127,1.3
4,For Unlawful Activity,4,7,11,48,40,88,109,126,235,162,134,296,323,307,630,257,76,333,82,42,124,0,0,0,339,118,457,662,425,1087,1.2
5,For Adoption,25,10,35,24,11,35,40,67,107,96,167,263,185,255,440,166,97,263,10,20,30,2,3,5,178,120,298,363,375,738,0.8
6,For Ransom,24,6,30,47,11,58,41,5,46,25,9,34,137,31,168,232,39,271,225,16,241,7,1,8,464,56,520,601,87,688,0.8
7,For Revenge,23,10,33,57,13,70,69,28,97,28,22,50,177,73,250,113,50,163,81,11,92,3,0,3,197,61,258,374,134,508,0.6
8,For Prostitution,0,0,0,0,1,1,0,27,27,0,31,31,0,59,59,0,49,49,0,3,3,0,0,0,0,52,52,0,111,111,0.1
9,For Begging,6,4,10,6,5,11,13,4,17,4,2,6,29,15,44,20,1,21,0,0,0,0,0,0,20,1,21,49,16,65,0.1
10,For Slavery,0,0,0,0,0,0,11,3,14,3,0,3,14,3,17,5,3,8,0,0,0,0,0,0,5,3,8,19,6,25,0
11,For Sale,4,5,9,2,3,5,1,2,3,0,0,0,7,10,17,0,4,4,0,0,0,0,0,0,0,4,4,7,14,21,0
12,For Selling Body Parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,2,0,0,0,6,0,6,6,0,6,0
13,Others Purposes,778,817,1595,2523,1607,4130,5859,8175,14034,4233,9957,14190,13393,20556,33949,4429,6757,11186,2275,2203,4478,68,78,146,6772,9038,15810,20165,29594,49759,55.4
Total Kidnapped & Abducted,Total Kidnapped & Abducted,882,1014,1896,2756,2491,5247,6225,15499,21724,4623,20838,25461,14486,39842,54328,5918,21924,27842,2865,4675,7540,81,84,165,8864,26683,35547,23350,66525,89875,100
Percentage Share of Victims Age Group,Percentage Share of Victims Age Group,NA,NA,2.1,NA,NA,5.8,NA,NA,24.2,NA,NA,28.3,NA,NA,60.4,NA,NA,31,NA,NA,8.4,NA,NA,0.2,NA,NA,39.6,NA,NA,100,NA
