S. No.,City,Year - 2014,Year - 2015,Year - 2016,Percentage Share of City (2016),Actual Population (In Lakhs),Rate of Cognizable Crimes
1,Ahmedabad (Gujarat),16838,16873,15379,5.2,63.5,242.2
2,Bengaluru (Karnataka),3835,4051,3241,1.1,85,38.1
3,Chennai (Tamil Nadu),155671,83720,96977,32.9,87,1114.7
4,Coimbatore (Tamil Nadu),4417,6069,6989,2.4,21.5,325.1
5,Delhi,8420,7305,6690,2.3,163.1,41
6,Ghaziabad (Uttar Pradesh),3299,3518,4413,1.5,23.6,187
7,Hyderabad (Telangana),2953,1992,1553,0.5,77.5,20
8,Indore (Madhya Pradesh),2817,3382,2646,0.9,21.7,121.9
9,Jaipur (Rajasthan),4464,4951,7200,2.4,30.7,234.5
10,Kanpur (Uttar Pradesh),2743,3297,3361,1.1,29.2,115.1
11,Kochi (Kerala),28988,28790,38073,12.9,21.2,1795.9
12,Kolkata (West Bengal),2065,2062,2437,0.8,141.1,17.3
13,Kozhikode (Kerala),11691,13270,9355,3.2,20.3,460.8
14,Lucknow (Uttar Pradesh),1525,2259,2909,1,29,100.3
15,Mumbai (Maharashtra),19477,23736,19455,6.6,184.1,105.7
16,Nagpur (Maharashtra),17307,22095,31155,10.6,25,1246.2
17,Patna (Bihar),1172,2141,2812,1,20.5,137.2
18,Pune (Maharashtra),7616,3983,3258,1.1,50.5,64.5
19,Surat* (Gujarat),41398,47010,37099,12.6,45.8,810
Total Cities,Total Cities,336696,280504,295002,100,1140.3,258.7
