S. No.,Category,State/UT,Year - 2014,Year - 2015,Year - 2016,Percentage of State Share to Total Crimes
1,State,Andhra Pradesh,5,1,5,1.3
2,State,Arunachal Pradesh,0,0,0,0
3,State,Assam,0,0,0,0
4,State,Bihar,13,0,10,2.6
5,State,Chhattisgarh,0,0,0,0
6,State,Goa,73,30,22,5.8
7,State,Gujarat,4,2,2,0.5
8,State,Haryana,9,15,8,2.1
9,State,Himachal Pradesh,2,1,4,1
10,State,Jammu & Kashmir,1,0,0,0
11,State,Jharkhand,0,0,2,0.5
12,State,Karnataka,14,22,12,3.1
13,State,Kerala,8,9,15,3.9
14,State,Madhya Pradesh,2,1,2,0.5
15,State,Maharashtra,59,53,38,9.9
16,State,Manipur,0,0,0,0
17,State,Meghalaya,0,0,0,0
18,State,Mizoram,1,2,0,0
19,State,Nagaland,0,0,0,0
20,State,Odisha,1,2,1,0.3
21,State,Punjab,4,13,9,2.4
22,State,Rajasthan,36,24,25,6.5
23,State,Sikkim,0,0,0,0
24,State,Tamil Nadu,7,7,24,6.3
25,State,Telangana,2,1,4,1
26,State,Tripura,0,0,0,0
27,State,Uttar Pradesh,66,33,6,1.6
28,State,Uttarakhand,0,0,0,0
29,State,West Bengal,6,2,2,0.5
Total (States),State,Total (States),313,218,191,50
30,UT,A & N Islands,0,0,0,0
31,UT,Chandigarh,2,0,4,1
32,UT,D&N Haveli,0,0,0,0
33,UT,Daman & Diu,0,0,0,0
34,UT,Delhi,164,147,154,40.3
35,UT,Lakshadweep,0,0,0,0
36,UT,Puducherry,7,0,33,8.6
Total (UTs),UT,Total (UTs),173,147,191,50
Total (All-India),Total (All-India),Total (All-India),486,365,382,100
