S. No. (Col.1),Category (Col.2),State/UT (Col.3),Cases Pending Trial from the Previous Year (Col.4),Cases Sent for Trial during the Year (Col.5),Total Cases for Trial during the Year (Col.6) = (Col.4+5),Number of Cases withdrawn by the Govt. (Col.7),Number of Cases Disposed by Plea Bargaining (Col.8),Cases Compounded (Col.9),Cases in which Trials were Completed (Col.10) = (Col. 11+12),Cases Convicted (Col.11),Cases Acquitted or Discharged (Col.12),Cases Disposed off by Courts (Col.13) = (Col.7 +Col.8+Col.9+Col.10),Cases Pending Trial at the End of the Year (Col.14) = (Col.6 - Col.13),Conviction Rate (Col.15) = (Col.11/ Col.10) * 100,Pendency Percentage (Col.16) = (Col.14/ Col.6) * 100
1,State,Andhra Pradesh,31449,14774,46223,18,0,3615,9882,922,8960,13515,32708,9.3,70.8
2,State,Arunachal Pradesh,1818,239,2057,0,0,40,76,23,53,116,1941,30.3,94.4
3,State,Assam,34537,11004,45541,0,0,0,6522,470,6052,6522,39019,7.2,85.7
4,State,Bihar,45850,13951,59801,0,0,0,3435,639,2796,3435,56366,18.6,94.3
5,State,Chhattisgarh,16567,5114,21681,0,0,1,4445,1207,3238,4446,17235,27.2,79.5
6,State,Goa,989,236,1225,0,0,6,157,18,139,163,1062,11.5,86.7
7,State,Gujarat,65981,7676,73657,1,5,267,3537,122,3415,3810,69847,3.4,94.8
8,State,Haryana,15017,5603,20620,0,0,0,4180,560,3620,4180,16440,13.4,79.7
9,State,Himachal Pradesh,5399,947,6346,2,0,144,602,83,519,748,5598,13.8,88.2
10,State,Jammu & Kashmir,11503,1823,13326,0,0,322,1351,56,1295,1673,11653,4.1,87.4
11,State,Jharkhand,10711,4136,14847,3,0,4,2436,766,1670,2443,12404,31.4,83.5
12,State,Karnataka,36199,9936,46135,0,0,266,5814,271,5543,6080,40055,4.7,86.8
13,State,Kerala,56672,9408,66080,1,18,158,4652,500,4152,4829,61251,10.7,92.7
14,State,Madhya Pradesh,61777,23606,85383,0,6,3508,14007,3888,10119,17521,67862,27.8,79.5
15,State,Maharashtra,151023,26231,177254,9,0,1472,10155,1135,9020,11636,165618,11.2,93.4
16,State,Manipur,275,165,440,0,0,0,16,7,9,16,424,43.8,96.4
17,State,Meghalaya,1698,262,1960,0,0,7,130,88,42,137,1823,67.7,93
18,State,Mizoram,266,116,382,0,0,0,80,71,9,80,302,88.8,79.1
19,State,Nagaland,79,61,140,0,0,0,55,23,32,55,85,41.8,60.7
20,State,Odisha,66754,15610,82364,1,0,2,6304,392,5912,6307,76057,6.2,92.3
21,State,Punjab,8204,2995,11199,0,61,4,2266,550,1716,2331,8868,24.3,79.2
22,State,Rajasthan,63373,14493,77866,0,728,729,8369,2884,5485,9826,68040,34.5,87.4
23,State,Sikkim,46,113,159,0,0,0,31,11,20,31,128,35.5,80.5
24,State,Tamil Nadu,15507,3166,18673,0,0,19,3093,647,2446,3112,15561,20.9,83.3
25,State,Telangana,30295,12185,42480,0,0,2499,5809,471,5338,8308,34172,8.1,80.4
26,State,Tripura,4101,862,4963,0,0,456,526,130,396,982,3981,24.7,80.2
27,State,Uttar Pradesh,84094,32032,116126,0,0,660,11007,5795,5212,11667,104459,52.6,90
28,State,Uttarakhand,3063,990,4053,0,0,0,526,243,283,526,3527,46.2,87
29,State,West Bengal,232153,33539,265692,0,0,0,9713,319,9394,9713,255979,3.3,96.3
Total (States),State,Total (States),1055400,251273,1306673,35,818,14179,119176,22291,96885,134208,1172465,18.7,89.7
30,UT,A & N Islands,547,77,624,0,0,1,56,8,48,57,567,14.3,90.9
31,UT,Chandigarh,564,280,844,0,0,16,213,52,161,229,615,24.4,72.9
32,UT,D&N Haveli,107,30,137,0,0,0,21,2,19,21,116,9.5,84.7
33,UT,Daman & Diu,35,28,63,0,0,0,20,0,20,20,43,0,68.3
34,UT,Delhi,24991,8542,33533,0,0,136,2594,736,1858,2730,30803,28.4,91.9
35,UT,Lakshadweep,5,8,13,0,0,0,0,0,0,0,13,NA,100
36,UT,Puducherry,107,66,173,0,0,1,8,5,3,9,164,62.5,94.8
Total (UTs),UT,Total (UTs),26356,9031,35387,0,0,154,2912,803,2109,3066,32321,27.6,91.3
Total (All India),Total (All India),Total (All India),1081756,260304,1342060,35,818,14333,122088,23094,98994,137274,1204786,18.9,89.8
