S. No. (Col.1),State/UT (Col.2),Unrecovered/Untraced Missing Children from Previous years - Female (Col.3),Unrecovered/Untraced Missing Children from Previous years - Male (Col.4),Unrecovered/Untraced Missing Children from Previous years - Total (Col.5),Persons Missing in 2016 - Female (Col.6),Persons Missing in 2016 - Male (Col.7),Persons Missing in 2016 - Total (Col.8),Total Persons Missing - Female (Col.9),Total Persons Missing - Male (Col.10),Total Persons Missing - Total (Col.11),Total Recovered/Traced (2016) - Female (Col.12),Total Recovered/Traced (2016) - Male (Col.13),Total Recovered/Traced (2016) - Total (Col.14),Percentage Recovery# (Total Recovered or Traced/ Total Missing) * 100 - Female (Col.15),Percentage Recovery# (Total Recovered or Traced/ Total Missing) * 100 - Male (Col.16),Percentage Recovery# (Total Recovered or Traced/ Total Missing) * 100 - Total (Col.17),Un-Recovered/Untraced Missing Persons (including previous years Untraced Missing Persons) - Female (Col.18),Un-Recovered/Untraced Missing Persons (including previous years Untraced Missing Persons) - Male (Col.19),Un-Recovered/Untraced Missing Persons (including previous years Untraced Missing Persons) - Total (Col.20)
1,Andhra Pradesh,2506,3451,5957,4454,2905,7359,6960,6356,13316,3970,2178,6148,57,34.3,46.2,2990,4178,7168
2,Arunachal Pradesh,31,8,39,50,19,69,81,27,108,41,19,60,50.6,70.4,55.6,40,8,48
3,Assam,2063,1319,3382,2850,1750,4600,4913,3069,7982,2108,1126,3234,42.9,36.7,40.5,2805,1943,4748
4,Bihar,888,795,1683,5218,1788,7006,6106,2583,8689,3170,1057,4227,51.9,40.9,48.6,2936,1526,4462
5,Chhattisgarh,4603,3718,8321,6649,3251,9900,11252,6969,18221,5416,2603,8019,48.1,37.4,44,5836,4366,10202
6,Goa,220,411,631,235,339,574,455,750,1205,225,275,500,49.5,36.7,41.5,230,475,705
7,Gujarat,3285,3293,6578,7105,4427,11532,10390,7720,18110,6150,3546,9696,59.2,45.9,53.5,4240,4174,8414
8,Haryana,3005,4114,7119,3554,2876,6430,6559,6990,13549,2918,2761,5679,44.5,39.5,41.9,3641,4229,7870
9,Himachal Pradesh,430,651,1081,568,452,1020,998,1103,2101,492,318,810,49.3,28.8,38.6,506,785,1291
10,Jammu & Kashmir,1336,1685,3021,943,802,1745,2279,2487,4766,984,602,1586,43.2,24.2,33.3,1295,1885,3180
11,Jharkhand,436,471,907,501,568,1069,937,1039,1976,317,310,627,33.8,29.8,31.7,620,729,1349
12,Karnataka,3791,5246,9037,8092,6160,14252,11883,11406,23289,7548,5940,13488,63.5,52.1,57.9,4335,5466,9801
13,Kerala,636,1039,1675,4926,2631,7557,5562,3670,9232,4944,2482,7426,88.9,67.6,80.4,618,1188,1806
14,Madhya Pradesh,17940,9504,27444,21435,10781,32216,39375,20285,59660,19884,10227,30111,50.5,50.4,50.5,19491,10058,29549
15,Maharashtra,21022,21688,42710,28316,23893,52209,49338,45581,94919,22702,17949,40651,46,39.4,42.8,26636,27632,54268
